TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,3179.45,3,0.0,9538.35,46325,11792,386.04,1179.2
2024-01-01 15:29:00,close,3181.45,3,-6.0,9544.35,0,0,0.0,0.0
2024-01-03 15:26:00,long,3235.55,3,0.0,9706.65,27859,13405,232.16,1340.5
2024-01-05 15:26:00,long,3363.65,2,0.0,6727.3,33500,11032,279.17,1103.2
2024-01-08 15:26:00,short,3327.1,2,0.0,6654.2,48361,18388,403.01,1838.8
2024-01-08 15:29:00,close,3338.0,2,-21.8,6676.0,0,0,0.0,0.0
2024-01-09 15:26:00,short,3219.9,2,0.0,6439.8,50683,19923,422.36,1992.3
2024-01-09 15:29:00,close,3221.7,2,-3.6,6443.4,0,0,0.0,0.0
2024-01-11 09:15:00,close,3076.96,3,-475.76,9230.9,0,0,0.0,0.0
2024-01-11 09:15:00,close,3076.96,2,-573.37,6153.93,0,0,0.0,0.0
2024-01-12 15:26:00,long,2987.35,3,0.0,8962.05,71091,26225,592.42,2622.5
2024-01-18 15:26:00,short,3116.85,2,0.0,6233.7,63897,20950,532.48,2095.0
2024-01-18 15:29:00,close,3123.45,2,-13.2,6246.9,0,0,0.0,0.0
2024-01-20 15:26:00,short,3028.0,2,0.0,6056.0,32952,12152,274.6,1215.2
2024-01-20 15:29:00,close,3040.0,2,-24.0,6080.0,0,0,0.0,0.0
2024-01-23 15:26:00,short,2992.2,3,0.0,8976.6,46699,19181,389.16,1918.1
2024-01-23 15:29:00,close,2985.0,3,21.6,8955.0,0,0,0.0,0.0
2024-01-25 15:26:00,short,3175.0,2,0.0,6350.0,61349,21089,511.24,2108.9
2024-01-25 15:29:00,close,3182.0,2,-14.0,6364.0,0,0,0.0,0.0
2024-02-02 15:26:00,long,3202.05,2,0.0,6404.1,41993,13284,349.94,1328.4
2024-02-06 15:26:00,long,3263.45,2,0.0,6526.9,37896,20527,315.8,2052.7
2024-02-07 15:26:00,short,3284.0,2,0.0,6568.0,37009,9770,308.41,977.0
2024-02-07 15:29:00,close,3270.0,2,28.0,6540.0,0,0,0.0,0.0
2024-02-12 15:26:00,long,3229.7,2,0.0,6459.4,18249,8440,152.07,844.0
2024-02-14 15:26:00,short,3288.85,2,0.0,6577.7,28398,8019,236.65,801.9
2024-02-14 15:29:00,close,3295.0,2,-12.3,6590.0,0,0,0.0,0.0
2024-02-16 15:26:00,short,3270.85,2,0.0,6541.7,33995,9107,283.29,910.7
2024-02-16 15:29:00,close,3280.0,2,-18.3,6560.0,0,0,0.0,0.0
2024-02-20 15:26:00,long,3295.95,2,0.0,6591.9,34790,10287,289.92,1028.7
2024-02-21 15:26:00,short,3204.5,1,0.0,3204.5,25402,7834,211.68,783.4
2024-02-21 15:29:00,close,3215.65,1,-11.15,3215.65,0,0,0.0,0.0
2024-02-22 15:26:00,short,3112.7,2,0.0,6225.4,57841,16304,482.01,1630.4
2024-02-22 15:29:00,close,3117.0,2,-8.6,6234.0,0,0,0.0,0.0
2024-02-29 15:26:00,short,3202.9,1,0.0,3202.9,40238,22866,335.32,2286.6
2024-02-29 15:29:00,close,3202.85,1,0.05,3202.85,0,0,0.0,0.0
2024-03-01 15:26:00,short,3205.65,1,0.0,3205.65,19596,7306,163.3,730.6
2024-03-01 15:29:00,close,3207.0,1,-1.35,3207.0,0,0,0.0,0.0
2024-03-05 15:26:00,short,3377.0,1,0.0,3377.0,35968,11380,299.73,1138.0
2024-03-05 15:29:00,close,3371.3,1,5.7,3371.3,0,0,0.0,0.0
2024-03-11 15:26:00,short,3347.35,1,0.0,3347.35,28662,12361,238.85,1236.1
2024-03-11 15:29:00,close,3344.0,1,3.35,3344.0,0,0,0.0,0.0
2024-03-13 15:26:00,short,3006.7,2,0.0,6013.4,106875,29472,890.62,2947.2
2024-03-13 10:05:00,close,3127.5,3,420.45,9382.5,0,0,0.0,0.0
2024-03-13 10:05:00,close,3127.5,2,-149.1,6255.0,0,0,0.0,0.0
2024-03-13 10:05:00,close,3127.5,2,-271.9,6255.0,0,0,0.0,0.0
2024-03-13 10:05:00,close,3127.5,2,-204.4,6255.0,0,0,0.0,0.0
2024-03-13 10:05:00,close,3127.5,2,-336.9,6255.0,0,0,0.0,0.0
2024-03-13 15:29:00,close,3039.95,2,-66.5,6079.9,0,0,0.0,0.0
2024-03-22 15:26:00,long,3424.75,2,0.0,6849.5,26730,8475,222.75,847.5
2024-03-26 15:26:00,long,3490.05,2,0.0,6980.1,43230,20636,360.25,2063.6
2024-03-27 15:26:00,short,3482.85,2,0.0,6965.7,211580,95933,1763.17,9593.3
