EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-03-15 15:26:00,long,1456.0,6,8736,closed,2024-03-18 09:40:00,1442.48,-81.12,-0.93
2024-05-31 15:26:00,short,1527.85,6,9167,closed,2024-05-31 15:29:00,1526.0,11.1,0.12
2024-06-18 15:26:00,short,1608.95,6,9654,closed,2024-06-18 15:29:00,1608.0,5.7,0.06
2024-08-30 15:26:00,long,1637.7,6,9826,closed,2024-08-30 15:27:00,1623.8,-83.41,-0.85
2024-09-27 15:26:00,short,1752.35,5,8762,closed,2024-09-27 15:29:00,1753.0,-3.25,-0.04
2024-10-14 15:26:00,short,1687.55,5,8438,closed,2024-10-14 15:29:00,1689.35,-9.0,-0.11
2024-10-15 15:26:00,long,1686.65,5,8433,closed,2024-10-17 09:16:00,1690.87,21.1,0.25
2024-10-31 15:26:00,short,1735.0,5,8675,closed,2024-10-31 15:29:00,1734.3,3.5,0.04
2024-11-25 15:26:00,long,1793.45,5,8967,closed,2024-11-26 09:15:00,1791.9,-7.75,-0.09
2024-12-20 15:26:00,long,1776.25,5,8881,closed,2024-12-24 09:34:00,1790.61,71.82,0.81
2024-12-30 15:26:00,long,1781.55,5,8908,closed,2024-12-31 09:15:00,1770.12,-57.15,-0.64
