stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
CANBK_minute,2.69,9,0.78,3.62,-0.53,2.7,23.92
BANKBARODA_minute,2.14,5,0.4,6.32,-0.64,2.15,6.62
IOC_minute,1.7,12,0.67,2.93,-0.63,1.75,9.33
INDGN_minute,1.7,10,0.5,4.31,-1.07,1.62,5.03
MM_minute,1.64,8,0.75,2.41,-0.94,1.57,7.65
HINDPETRO_minute,1.48,8,0.88,2.03,-2.12,1.51,6.71
UNOMINDA_minute,1.37,26,0.54,3.46,-0.94,1.43,4.29
MOTILALOFS_minute,1.34,33,0.73,3.12,-2.95,1.47,2.82
KAYNES_minute,1.29,28,0.57,4.2,-2.13,1.49,2.63
NUVAMA_minute,1.2,18,0.67,2.47,-1.43,1.17,4.14
CHAMBLFERT_minute,1.19,22,0.64,2.56,-1.32,1.15,3.4
JSWENERGY_minute,1.18,27,0.63,2.74,-1.5,1.17,3.45
ASIANPAINT_minute,1.12,4,0.75,1.76,-0.86,1.1,6.15
PERSISTENT_minute,1.09,9,0.78,1.88,-1.84,1.06,3.58
SIEMENS_minute,1.08,12,0.58,2.6,-0.92,1.13,4.96
TECHM_minute,1.07,7,0.71,2.75,-2.44,1.26,2.81
BHEL_minute,1.03,16,0.69,2.1,-1.88,0.85,3.06
KIRLOSBROS_minute,1.01,26,0.54,4.63,-2.41,1.38,2.24
BANDHANBNK_minute,1.0,14,0.57,3.05,-1.6,1.06,2.54
BLUESTARCO_minute,0.94,21,0.48,3.35,-1.29,0.92,2.37
VOLTAS_minute,0.93,18,0.72,1.92,-1.64,0.93,3.05
SAPPHIRE_minute,0.91,24,0.58,2.21,-0.91,0.91,3.4
OBEROIRLTY_minute,0.9,16,0.69,1.85,-0.81,1.02,5.07
COFORGE_minute,0.89,6,0.67,1.7,-0.46,0.98,7.4
CYIENT_minute,0.84,23,0.65,2.2,-1.93,0.76,2.44
LTF_minute,0.84,17,0.71,1.64,-0.93,0.88,4.22
GODREJIND_minute,0.81,34,0.53,2.93,-1.62,0.79,2.16
GAEL_minute,0.81,32,0.56,2.39,-1.57,0.66,2.29
PAYTM_minute,0.8,22,0.68,2.57,-3.1,0.76,1.77
UPL_minute,0.8,21,0.86,1.12,-1.14,0.8,5.93
FINCABLES_minute,0.79,25,0.52,3.29,-1.71,0.89,2.08
HINDALCO_minute,0.78,12,0.67,1.82,-1.78,0.62,2.74
JWL_minute,0.77,33,0.45,3.81,-1.94,0.67,1.63
SHYAMMETL_minute,0.77,27,0.67,2.15,-1.72,0.86,2.5
SAREGAMA_minute,0.73,27,0.52,2.35,-1.21,0.64,2.1
SHRIRAMFIN_minute,0.73,9,0.67,1.48,-0.56,0.8,5.3
POLYMED_minute,0.7,31,0.61,2.16,-1.52,0.74,2.26
DEEPAKFERT_minute,0.69,26,0.42,3.42,-1.54,0.56,1.63
SBILIFE_minute,0.68,6,0.67,1.54,-1.2,0.62,2.56
SUZLON_minute,0.68,12,0.5,2.23,-1.07,0.58,2.09
NATIONALUM_minute,0.66,21,0.57,2.62,-1.89,0.69,1.85
