,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
101,JUBLFOOD,long,2024-02-09 15:21:00,2024-02-12 15:29:00,482.5,475.0,1,482.5,475.0,closed,-7.5,-1.5544
125,JUBLFOOD,long,2024-02-14 15:21:00,2024-02-15 15:29:00,480.3,479.1,1,480.3,479.1,closed,-1.2,-0.2498
177,JUBLFOOD,long,2024-02-21 15:21:00,2024-02-22 15:29:00,496.1,492.4,1,496.1,492.4,closed,-3.7,-0.7458
202,JUBLFOOD,long,2024-02-26 15:21:00,2024-02-27 15:29:00,487.25,483.9,1,487.25,483.9,closed,-3.35,-0.6875
273,JUBLFOOD,long,2024-03-11 15:21:00,2024-03-12 15:29:00,451.5,444.75,1,451.5,444.75,closed,-6.75,-1.495
282,JUBLFOOD,long,2024-03-12 15:21:00,2024-03-13 15:29:00,444.9,431.35,1,444.9,431.35,closed,-13.55,-3.0456
301,JUBLFOOD,long,2024-03-14 15:21:00,2024-03-15 15:29:00,445.25,447.0,1,445.25,447.0,closed,1.75,0.393
329,JUBLFOOD,long,2024-03-15 15:21:00,2024-03-18 15:29:00,447.7,442.0,1,447.7,442.0,closed,-5.7,-1.2732
343,JUBLFOOD,long,2024-03-19 15:21:00,2024-03-20 15:29:00,446.0,443.7,1,446.0,443.7,closed,-2.3,-0.5157
358,JUBLFOOD,long,2024-03-22 15:21:00,2024-03-26 15:29:00,454.4,466.0,1,454.4,466.0,closed,11.6,2.5528
466,JUBLFOOD,long,2024-04-12 15:21:00,2024-04-15 09:16:00,461.85,452.61,1,461.85,452.61,closed,-9.24,-2.0
704,JUBLFOOD,long,2024-05-21 15:21:00,2024-05-22 15:29:00,480.0,478.55,1,480.0,478.55,closed,-1.45,-0.3021
712,JUBLFOOD,long,2024-05-22 15:21:00,2024-05-23 09:17:00,480.9,492.35,1,480.9,492.35,closed,11.45,2.3814
728,JUBLFOOD,long,2024-05-23 15:21:00,2024-05-24 15:29:00,475.15,466.35,1,475.15,466.35,closed,-8.8,-1.852
767,JUBLFOOD,long,2024-05-31 15:21:00,2024-06-03 15:29:00,496.45,498.4,1,496.45,498.4,closed,1.95,0.3928
817,JUBLFOOD,long,2024-06-04 15:21:00,2024-06-05 15:29:00,500.05,529.0,1,500.05,529.0,closed,28.95,5.7894
881,JUBLFOOD,long,2024-06-18 15:21:00,2024-06-19 15:29:00,551.7,543.15,1,551.7,543.15,closed,-8.55,-1.5498
