,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
5,TEJASNET,long,2024-01-20 15:21:00,2024-01-23T09:17:00.000000000,813.05,803.6,1,813.05,803.6,closed,-9.45,-1.1623
116,TEJASNET,long,2024-03-15 15:21:00,2024-03-18T13:46:00.000000000,715.9,704.52,1,715.9,704.52,closed,-11.38,-1.5893
218,TEJASNET,long,2024-04-30 15:21:00,2024-05-02T09:20:00.000000000,1148.05,1127.34,1,1148.05,1127.34,closed,-20.71,-1.8037
229,TEJASNET,long,2024-05-03 15:21:00,2024-05-06T09:37:00.000000000,1095.0,1096.62,1,1095.0,1096.62,closed,1.62,0.1479
263,TEJASNET,long,2024-05-22 15:21:00,2024-05-23T13:24:00.000000000,1160.5,1175.31,1,1160.5,1175.31,closed,14.81,1.2765
341,TEJASNET,long,2024-06-21 15:21:00,2024-06-24T09:31:00.000000000,1420.0,1394.45,1,1420.0,1394.45,closed,-25.55,-1.7993
374,TEJASNET,long,2024-06-28 15:21:00,2024-07-01T12:12:00.000000000,1418.55,1434.72,1,1418.55,1434.72,closed,16.17,1.1399
389,TEJASNET,long,2024-07-04 15:21:00,2024-07-05T12:03:00.000000000,1435.0,1437.37,1,1435.0,1437.37,closed,2.37,0.1649
397,TEJASNET,long,2024-07-09 15:21:00,2024-07-10T09:36:00.000000000,1371.35,1365.14,1,1371.35,1365.14,closed,-6.21,-0.4528
411,TEJASNET,long,2024-07-22 15:21:00,2024-07-23T09:32:00.000000000,1312.0,1324.91,1,1312.0,1324.91,closed,12.91,0.9841
439,TEJASNET,long,2024-07-30 15:21:00,2024-07-31T12:32:00.000000000,1289.6,1273.17,1,1289.6,1273.17,closed,-16.43,-1.2743
470,TEJASNET,long,2024-08-12 15:21:00,2024-08-13T09:19:00.000000000,1255.75,1240.68,1,1255.75,1240.68,closed,-15.07,-1.2001
502,TEJASNET,long,2024-08-27 15:21:00,2024-08-28T09:30:00.000000000,1344.0,1323.0,1,1344.0,1323.0,closed,-21.0,-1.5625
561,TEJASNET,long,2024-09-19 15:21:00,2024-09-20T10:19:00.000000000,1238.85,1228.18,1,1238.85,1228.18,closed,-10.66,-0.8609
633,TEJASNET,long,2024-10-21 15:21:00,2024-10-22T09:15:00.000000000,1316.05,1308.3,1,1316.05,1308.3,closed,-7.75,-0.5889
645,TEJASNET,long,2024-10-25 15:21:00,2024-10-28T09:30:00.000000000,1259.8,1258.27,1,1259.8,1258.27,closed,-1.53,-0.1214
686,TEJASNET,long,2024-11-14 15:21:00,2024-11-18T09:30:00.000000000,1274.8,1253.22,1,1274.8,1253.22,closed,-21.58,-1.6925
727,TEJASNET,long,2024-12-04 15:21:00,2024-12-05T09:20:00.000000000,1342.05,1374.65,1,1342.05,1374.65,closed,32.6,2.4288
