,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
36,AJANTPHARM,long,2024-02-12 15:21:00,2024-02-13T09:17:00.000000000,2175.8,2156.0,1,2175.8,2156.0,closed,-19.8,-0.91
77,AJANTPHARM,long,2024-02-29 15:21:00,2024-02-29T15:28:00.000000000,2236.2,2195.25,1,2236.2,2195.25,closed,-40.95,-1.8313
88,AJANTPHARM,long,2024-03-04 15:21:00,2024-03-06T11:16:00.000000000,2077.65,2093.18,1,2077.65,2093.18,closed,15.53,0.7476
99,AJANTPHARM,long,2024-03-13 15:21:00,2024-03-13T15:27:00.000000000,2115.0,2131.5,1,2115.0,2131.5,closed,16.5,0.7801
238,AJANTPHARM,long,2024-05-09 15:21:00,2024-05-10T09:16:00.000000000,2415.6,2409.77,1,2415.6,2409.77,closed,-5.83,-0.2413
311,AJANTPHARM,long,2024-06-04 15:21:00,2024-06-04T15:29:00.000000000,2316.55,2297.07,1,2316.55,2297.07,closed,-19.48,-0.8409
353,AJANTPHARM,long,2024-06-27 15:21:00,2024-07-01T14:15:00.000000000,2290.6,2273.5,1,2290.6,2273.5,closed,-17.1,-0.7464
380,AJANTPHARM,long,2024-07-03 15:21:00,2024-07-04T12:32:00.000000000,2245.0,2226.36,1,2245.0,2226.36,closed,-18.64,-0.8301
400,AJANTPHARM,long,2024-07-10 15:21:00,2024-07-11T11:27:00.000000000,2262.5,2239.2,1,2262.5,2239.2,closed,-23.3,-1.0297
419,AJANTPHARM,long,2024-07-24 15:21:00,2024-07-30T15:02:00.000000000,2383.5,2437.1,1,2383.5,2437.1,closed,53.6,2.2488
449,AJANTPHARM,long,2024-08-01 15:21:00,2024-08-02T09:15:00.000000000,2796.7,2745.96,1,2796.7,2745.96,closed,-50.74,-1.8143
471,AJANTPHARM,long,2024-08-13 15:21:00,2024-08-14T09:18:00.000000000,3183.0,3299.0,1,3183.0,3299.0,closed,116.0,3.6444
488,AJANTPHARM,long,2024-08-21 15:21:00,2024-08-21T15:28:00.000000000,3104.15,3062.5,1,3104.15,3062.5,closed,-41.65,-1.3418
506,AJANTPHARM,long,2024-08-28 15:21:00,2024-08-29T10:11:00.000000000,3049.9,3141.05,1,3049.9,3141.05,closed,91.15,2.9886
519,AJANTPHARM,long,2024-08-30 15:21:00,2024-08-30T15:28:00.000000000,3258.05,3209.5,1,3258.05,3209.5,closed,-48.55,-1.4902
545,AJANTPHARM,long,2024-09-11 15:21:00,2024-09-12T14:19:00.000000000,3390.65,3415.3,1,3390.65,3415.3,closed,24.65,0.727
559,AJANTPHARM,long,2024-09-19 15:21:00,2024-09-20T09:17:00.000000000,3208.5,3173.98,1,3208.5,3173.98,closed,-34.53,-1.076
571,AJANTPHARM,long,2024-09-24 15:21:00,2024-09-24T15:28:00.000000000,3245.55,3224.2,1,3245.55,3224.2,closed,-21.35,-0.6578
586,AJANTPHARM,long,2024-09-27 15:21:00,2024-09-27T15:25:00.000000000,3353.45,3331.51,1,3353.45,3331.51,closed,-21.94,-0.6543
595,AJANTPHARM,long,2024-10-03 15:21:00,2024-10-04T09:15:00.000000000,3359.75,3308.87,1,3359.75,3308.87,closed,-50.88,-1.5143
668,AJANTPHARM,long,2024-11-12 15:21:00,2024-11-13T09:15:00.000000000,2835.35,2797.07,1,2835.35,2797.07,closed,-38.28,-1.3502
671,AJANTPHARM,long,2024-11-13 15:21:00,2024-11-13T15:24:00.000000000,2822.2,2833.45,1,2822.2,2833.45,closed,11.25,0.3986
700,AJANTPHARM,long,2024-11-22 15:21:00,2024-11-25T09:15:00.000000000,2976.6,2975.05,1,2976.6,2975.05,closed,-1.55,-0.0521
718,AJANTPHARM,long,2024-11-29 15:21:00,2024-12-03T11:11:00.000000000,3038.15,2998.8,1,3038.15,2998.8,closed,-39.35,-1.2952
752,AJANTPHARM,long,2024-12-17 15:21:00,2024-12-19T09:15:00.000000000,2874.2,2850.82,1,2874.2,2850.82,closed,-23.38,-0.8134
757,AJANTPHARM,long,2024-12-19 15:21:00,2024-12-20T15:27:00.000000000,2875.85,2848.91,1,2875.85,2848.91,closed,-26.94,-0.9368
769,AJANTPHARM,long,2024-12-26 15:21:00,2024-12-27T13:52:00.000000000,2795.35,2963.07,1,2795.35,2963.07,closed,167.72,6.0
772,AJANTPHARM,long,2024-12-27 15:21:00,2024-12-27T15:26:00.000000000,3062.85,3053.58,1,3062.85,3053.58,closed,-9.27,-0.3026
