,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
6,HINDCOPPER,long,2024-01-20 15:21:00,2024-01-23T09:19:00.000000000,270.0,267.54,1,270.0,267.54,closed,-2.46,-0.9111
17,HINDCOPPER,long,2024-01-30 15:21:00,2024-01-31T10:44:00.000000000,285.75,289.59,1,285.75,289.59,closed,3.84,1.3438
81,HINDCOPPER,long,2024-02-29 15:21:00,2024-03-01T11:57:00.000000000,270.8,269.45,1,270.8,269.45,closed,-1.35,-0.4982
86,HINDCOPPER,long,2024-03-01 15:21:00,2024-03-04T09:23:00.000000000,272.6,282.48,1,272.6,282.48,closed,9.88,3.6262
108,HINDCOPPER,long,2024-03-14 15:21:00,2024-03-15T09:15:00.000000000,263.9,258.62,1,263.9,258.62,closed,-5.28,-2.0
123,HINDCOPPER,long,2024-03-18 15:21:00,2024-03-19T10:07:00.000000000,269.65,267.25,1,269.65,267.25,closed,-2.4,-0.89
127,HINDCOPPER,long,2024-03-20 15:21:00,2024-03-21T14:48:00.000000000,257.15,272.58,1,257.15,272.58,closed,15.43,6.0
175,HINDCOPPER,long,2024-04-15 15:21:00,2024-04-16T10:06:00.000000000,354.85,360.54,1,354.85,360.54,closed,5.69,1.6041
207,HINDCOPPER,long,2024-04-24 15:21:00,2024-04-25T10:34:00.000000000,379.5,379.16,1,379.5,379.16,closed,-0.34,-0.0891
213,HINDCOPPER,long,2024-04-26 15:21:00,2024-04-29T10:15:00.000000000,391.25,393.62,1,391.25,393.62,closed,2.37,0.605
217,HINDCOPPER,long,2024-04-29 15:21:00,2024-04-30T10:55:00.000000000,389.2,389.45,1,389.2,389.45,closed,0.25,0.0647
222,HINDCOPPER,long,2024-05-03 15:21:00,2024-05-06T09:18:00.000000000,388.9,384.65,1,388.9,384.65,closed,-4.25,-1.0928
257,HINDCOPPER,long,2024-05-21 15:21:00,2024-05-22T09:30:00.000000000,399.85,407.48,1,399.85,407.48,closed,7.63,1.9092
302,HINDCOPPER,long,2024-05-31 15:21:00,2024-06-03T09:15:00.000000000,356.35,366.52,1,356.35,366.52,closed,10.17,2.8539
395,HINDCOPPER,long,2024-07-08 15:21:00,2024-07-10T09:17:00.000000000,342.9,341.82,1,342.9,341.82,closed,-1.08,-0.3138
428,HINDCOPPER,long,2024-07-25 15:21:00,2024-07-30T09:15:00.000000000,309.6,314.58,1,309.6,314.58,closed,4.98,1.6085
442,HINDCOPPER,long,2024-07-31 15:21:00,2024-08-01T10:46:00.000000000,321.9,323.11,1,321.9,323.11,closed,1.21,0.3747
473,HINDCOPPER,long,2024-08-13 15:21:00,2024-08-14T09:16:00.000000000,314.25,310.95,1,314.25,310.95,closed,-3.3,-1.0488
476,HINDCOPPER,long,2024-08-14 15:21:00,2024-08-16T09:15:00.000000000,299.55,299.88,1,299.55,299.88,closed,0.33,0.1102
493,HINDCOPPER,long,2024-08-22 15:21:00,2024-08-23T14:39:00.000000000,317.3,312.08,1,317.3,312.08,closed,-5.22,-1.6448
496,HINDCOPPER,long,2024-08-23 15:21:00,2024-08-27T09:25:00.000000000,317.1,336.13,1,317.1,336.13,closed,19.03,6.0
508,HINDCOPPER,long,2024-08-28 15:21:00,2024-08-29T10:35:00.000000000,329.95,323.35,1,329.95,323.35,closed,-6.6,-2.0
511,HINDCOPPER,long,2024-08-29 15:21:00,2024-09-02T09:15:00.000000000,329.6,329.13,1,329.6,329.13,closed,-0.47,-0.1417
532,HINDCOPPER,long,2024-09-05 15:21:00,2024-09-06T09:57:00.000000000,316.3,309.97,1,316.3,309.97,closed,-6.33,-2.0
581,HINDCOPPER,long,2024-09-26 15:21:00,2024-09-27T09:58:00.000000000,344.55,344.96,1,344.55,344.96,closed,0.41,0.119
608,HINDCOPPER,long,2024-10-08 15:21:00,2024-10-09T15:03:00.000000000,314.95,312.86,1,314.95,312.86,closed,-2.08,-0.662
616,HINDCOPPER,long,2024-10-11 15:21:00,2024-10-14T10:42:00.000000000,316.2,314.97,1,316.2,314.97,closed,-1.23,-0.3884
619,HINDCOPPER,long,2024-10-14 15:21:00,2024-10-15T09:15:00.000000000,329.8,323.2,1,329.8,323.2,closed,-6.6,-2.0
625,HINDCOPPER,long,2024-10-16 15:21:00,2024-10-17T15:03:00.000000000,322.75,316.39,1,322.75,316.39,closed,-6.36,-1.9696
695,HINDCOPPER,long,2024-11-21 15:21:00,2024-11-25T15:00:00.000000000,261.9,277.61,1,261.9,277.61,closed,15.71,6.0
707,HINDCOPPER,long,2024-11-25 15:21:00,2024-11-26T09:57:00.000000000,279.75,276.26,1,279.75,276.26,closed,-3.49,-1.2468
725,HINDCOPPER,long,2024-12-04 15:21:00,2024-12-10T13:48:00.000000000,284.3,288.9,1,284.3,288.9,closed,4.6,1.6194
730,HINDCOPPER,long,2024-12-05 15:21:00,2024-12-10T13:48:00.000000000,285.15,288.9,1,285.15,288.9,closed,3.75,1.3165
747,HINDCOPPER,long,2024-12-12 15:21:00,2024-12-13T09:23:00.000000000,291.25,285.87,1,291.25,285.87,closed,-5.38,-1.8486
