TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-02 15:26:00,long,2615.0,3,0.0,7845.0,587632,99850,4896.93,9985.0
2024-01-04 15:26:00,short,2590.85,3,0.0,7772.55,550106,217851,4584.22,21785.1
2024-01-04 15:29:00,close,2592.0,3,-3.45,7776.0,0,0,0.0,0.0
2024-01-05 15:26:00,long,2620.0,3,0.0,7860.0,496406,104002,4136.72,10400.2
2024-01-08 15:26:00,long,2580.0,3,0.0,7740.0,396084,120168,3300.7,12016.8
2024-01-09 15:26:00,short,2579.0,2,0.0,5158.0,372869,64753,3107.24,6475.3
2024-01-09 15:29:00,close,2580.2,2,-2.4,5160.4,0,0,0.0,0.0
2024-01-12 15:26:00,short,2539.25,3,0.0,7617.75,838727,144206,6989.39,14420.6
2024-01-12 15:29:00,close,2539.45,3,-0.6,7618.35,0,0,0.0,0.0
2024-01-16 15:26:00,long,2570.0,2,0.0,5140.0,590564,172354,4921.37,17235.4
2024-01-17 15:26:00,short,2563.75,2,0.0,5127.5,621180,173218,5176.5,17321.8
2024-01-17 15:29:00,close,2560.0,2,7.5,5120.0,0,0,0.0,0.0
2024-01-18 15:26:00,long,2548.85,2,0.0,5097.7,390575,96430,3254.79,9643.0
2024-01-19 15:26:00,long,2572.0,2,0.0,5144.0,355899,155515,2965.82,15551.5
2024-01-20 15:26:00,short,2467.0,2,0.0,4934.0,674504,120306,5620.87,12030.6
2024-01-20 09:15:00,close,2498.4,3,-349.79,7495.21,0,0,0.0,0.0
2024-01-20 09:15:00,close,2494.7,3,-375.9,7484.1,0,0,0.0,0.0
2024-01-20 15:29:00,close,2469.5,2,-5.0,4939.0,0,0,0.0,0.0
2024-01-23 15:26:00,long,2373.05,3,0.0,7119.15,1400249,283049,11668.74,28304.9
2024-01-23 09:15:00,close,2451.0,3,-387.0,7353.0,0,0,0.0,0.0
2024-01-23 09:30:00,close,2445.25,2,-249.5,4890.5,0,0,0.0,0.0
2024-01-23 09:30:00,close,2445.25,2,-207.2,4890.5,0,0,0.0,0.0
2024-01-23 09:30:00,close,2445.25,2,-253.5,4890.5,0,0,0.0,0.0
2024-01-24 15:26:00,long,2444.8,3,0.0,7334.4,419035,98981,3491.96,9898.1
2024-01-25 15:26:00,long,2428.15,3,0.0,7284.45,708646,236539,5905.38,23653.9
2024-01-29 15:26:00,short,2440.0,3,0.0,7320.0,566305,150131,4719.21,15013.1
2024-01-29 15:29:00,close,2440.0,3,0.0,7320.0,0,0,0.0,0.0
2024-01-31 15:26:00,long,2482.95,3,0.0,7448.85,613415,157270,5111.79,15727.0
2024-02-02 15:26:00,short,2452.15,2,0.0,4904.3,555463,216743,4628.86,21674.3
2024-02-02 15:29:00,close,2452.35,2,-0.4,4904.7,0,0,0.0,0.0
2024-02-05 15:26:00,short,2421.7,2,0.0,4843.4,549703,96328,4580.86,9632.8
2024-02-05 15:29:00,close,2421.65,2,0.1,4843.3,0,0,0.0,0.0
2024-02-07 15:26:00,long,2427.0,2,0.0,4854.0,418712,115697,3489.27,11569.7
2024-02-08 15:26:00,short,2418.75,2,0.0,4837.5,492011,101874,4100.09,10187.4
2024-02-08 15:29:00,close,2414.0,2,9.5,4828.0,0,0,0.0,0.0
2024-02-12 13:18:00,close,2385.97,3,38.77,7157.92,0,0,0.0,0.0
2024-02-12 13:18:00,close,2385.97,3,-176.48,7157.92,0,0,0.0,0.0
2024-02-12 13:18:00,close,2385.97,3,-126.53,7157.92,0,0,0.0,0.0
2024-02-12 13:18:00,close,2385.97,3,-290.93,7157.92,0,0,0.0,0.0
2024-02-16 15:26:00,long,2380.75,3,0.0,7142.25,793002,135927,6608.35,13592.7
2024-02-19 15:26:00,long,2389.0,3,0.0,7167.0,165187,44775,1376.56,4477.5
2024-02-20 15:26:00,long,2407.85,3,0.0,7223.55,361460,96446,3012.17,9644.6
2024-02-21 15:26:00,short,2406.8,2,0.0,4813.6,432034,93782,3600.28,9378.2
2024-02-21 15:29:00,close,2404.0,2,5.6,4808.0,0,0,0.0,0.0
2024-02-22 15:26:00,short,2387.65,2,0.0,4775.3,777767,196770,6481.39,19677.0
2024-02-22 15:29:00,close,2390.0,2,-4.7,4780.0,0,0,0.0,0.0
2024-02-23 15:26:00,long,2397.65,2,0.0,4795.3,409906,92172,3415.88,9217.2
2024-02-26 15:26:00,short,2403.95,2,0.0,4807.9,274875,70562,2290.62,7056.2
2024-02-26 15:29:00,close,2401.95,2,4.0,4803.9,0,0,0.0,0.0
2024-02-27 15:26:00,short,2406.7,2,0.0,4813.4,379941,79897,3166.18,7989.7
2024-02-27 15:29:00,close,2407.45,2,-1.5,4814.9,0,0,0.0,0.0
2024-02-28 15:26:00,short,2423.4,2,0.0,4846.8,227328,55267,1894.4,5526.7
2024-02-28 15:29:00,close,2423.85,2,-0.9,4847.7,0,0,0.0,0.0
2024-02-29 15:26:00,short,2411.5,2,0.0,4823.0,1246102,400648,10384.18,40064.8
2024-02-29 15:29:00,close,2404.8,2,13.4,4809.6,0,0,0.0,0.0
2024-03-01 15:26:00,short,2405.15,2,0.0,4810.3,731608,131375,6096.73,13137.5
2024-03-01 15:29:00,close,2410.0,2,-9.7,4820.0,0,0,0.0,0.0
2024-03-05 15:26:00,short,2398.1,2,0.0,4796.2,452295,112267,3769.12,11226.7
2024-03-05 15:29:00,close,2401.9,2,-7.6,4803.8,0,0,0.0,0.0
2024-03-06 15:26:00,long,2400.0,2,0.0,4800.0,608459,118541,5070.49,11854.1
2024-03-07 15:26:00,short,2411.2,2,0.0,4822.4,778967,136358,6491.39,13635.8
2024-03-07 15:29:00,close,2415.0,2,-7.6,4830.0,0,0,0.0,0.0
2024-03-11 15:26:00,long,2384.4,2,0.0,4768.8,794122,275250,6617.68,27525.0
2024-03-12 15:26:00,long,2379.5,2,0.0,4759.0,281946,75781,2349.55,7578.1
2024-03-13 15:26:00,long,2312.55,2,0.0,4625.1,774559,203431,6454.66,20343.1
2024-03-13 13:34:00,close,2319.71,2,-214.58,4639.42,0,0,0.0,0.0
2024-03-13 13:42:00,close,2316.86,3,-191.67,6950.58,0,0,0.0,0.0
2024-03-13 13:42:00,close,2316.86,3,-216.42,6950.58,0,0,0.0,0.0
2024-03-13 13:42:00,close,2316.86,3,-272.97,6950.58,0,0,0.0,0.0
2024-03-13 13:42:00,close,2316.86,2,-161.58,4633.72,0,0,0.0,0.0
2024-03-13 14:15:00,close,2304.7,2,-190.6,4609.4,0,0,0.0,0.0
2024-03-14 15:26:00,long,2333.15,3,0.0,6999.45,912576,216119,7604.8,21611.9
2024-03-15 15:26:00,short,2330.8,3,0.0,6992.4,1323350,437589,11027.92,43758.9
2024-03-15 15:29:00,close,2327.7,3,9.3,6983.1,0,0,0.0,0.0
2024-03-19 10:15:00,close,2271.4,2,-226.0,4542.8,0,0,0.0,0.0
2024-03-19 11:01:00,close,2260.91,2,-237.19,4521.81,0,0,0.0,0.0
2024-03-21 15:26:00,long,2245.95,3,0.0,6737.85,1583067,283610,13192.22,28361.0
2024-03-26 15:26:00,long,2240.85,3,0.0,6722.55,805726,400182,6714.38,40018.2
2024-03-27 15:26:00,long,2239.95,3,0.0,6719.85,811848,238725,6765.4,23872.5
2024-03-28 15:26:00,long,2260.55,2,0.0,4521.1,1389278,291127,11577.32,29112.7
2024-04-01 15:26:00,short,2286.5,2,0.0,4573.0,408616,77002,3405.13,7700.2
2024-04-01 15:29:00,close,2288.95,2,-4.9,4577.9,0,0,0.0,0.0
2024-04-02 15:26:00,long,2287.2,2,0.0,4574.4,484436,126176,4036.97,12617.6
2024-04-03 15:26:00,long,2265.75,2,0.0,4531.5,346693,118008,2889.11,11800.8
2024-04-05 15:26:00,short,2266.15,2,0.0,4532.3,320378,93724,2669.82,9372.4
2024-04-05 15:29:00,close,2266.0,2,0.3,4532.0,0,0,0.0,0.0
2024-04-08 15:26:00,short,2269.4,2,0.0,4538.8,290332,63014,2419.43,6301.4
2024-04-08 15:29:00,close,2270.0,2,-1.2,4540.0,0,0,0.0,0.0
2024-04-09 15:26:00,short,2265.05,2,0.0,4530.1,278176,99792,2318.13,9979.2
2024-04-09 15:29:00,close,2266.15,2,-2.2,4532.3,0,0,0.0,0.0
2024-04-12 15:26:00,short,2229.7,2,0.0,4459.4,1368149,242465,11401.24,24246.5
2024-04-12 15:29:00,close,2234.0,2,-8.6,4468.0,0,0,0.0,0.0
2024-04-15 15:26:00,short,2192.9,2,0.0,4385.8,1449238,340984,12076.98,34098.4
2024-04-15 09:15:00,close,2224.61,2,-175.87,4449.23,0,0,0.0,0.0
2024-04-15 09:15:00,close,2220.1,3,-339.14,6660.31,0,0,0.0,0.0
2024-04-15 15:29:00,close,2194.6,2,-3.4,4389.2,0,0,0.0,0.0
2024-04-16 15:26:00,long,2226.7,2,0.0,4453.4,551984,171903,4599.87,17190.3
2024-04-16 09:15:00,close,2183.0,3,-188.85,6549.0,0,0,0.0,0.0
2024-04-16 09:15:00,close,2183.0,3,-173.55,6549.0,0,0,0.0,0.0
2024-04-16 09:15:00,close,2183.0,3,-170.85,6549.0,0,0,0.0,0.0
2024-04-16 09:15:00,close,2183.0,2,-155.1,4366.0,0,0,0.0,0.0
2024-04-16 09:15:00,close,2174.5,2,-225.4,4349.0,0,0,0.0,0.0
2024-04-16 09:15:00,close,2174.5,2,-182.5,4349.0,0,0,0.0,0.0
2024-04-19 15:26:00,short,2229.5,4,0.0,8918.0,849850,161604,7082.08,16160.4
2024-04-19 15:29:00,close,2230.0,4,-2.0,8920.0,0,0,0.0,0.0
2024-04-22 15:26:00,short,2240.25,4,0.0,8961.0,415648,140025,3463.73,14002.5
2024-04-22 15:29:00,close,2245.95,4,-22.8,8983.8,0,0,0.0,0.0
2024-04-24 15:26:00,short,2260.5,3,0.0,6781.5,390855,112684,3257.12,11268.4
2024-04-24 15:29:00,close,2260.05,3,1.35,6780.15,0,0,0.0,0.0
2024-04-25 15:26:00,long,2231.55,4,0.0,8926.2,1794256,326015,14952.13,32601.5
2024-04-26 15:26:00,long,2221.4,3,0.0,6664.2,628217,180158,5235.14,18015.8
2024-04-29 15:26:00,long,2227.3,3,0.0,6681.9,441248,119163,3677.07,11916.3
2024-04-30 15:26:00,short,2233.0,3,0.0,6699.0,890775,237422,7423.12,23742.2
2024-04-30 15:29:00,close,2233.8,3,-2.4,6701.4,0,0,0.0,0.0
2024-05-02 15:26:00,long,2225.0,3,0.0,6675.0,871527,184097,7262.72,18409.7
2024-05-03 15:26:00,short,2215.1,2,0.0,4430.2,947068,275732,7892.23,27573.2
2024-05-03 15:29:00,close,2213.95,2,2.3,4427.9,0,0,0.0,0.0
