,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
248,KANSAINER_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,307.7,301.95,1,307.7,301.95,closed,-5.75,-1.8687
281,KANSAINER_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,289.6,290.0,1,289.6,290.0,closed,0.4,0.1381
389,KANSAINER_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,271.75,274.05,1,271.75,274.05,closed,2.3,0.8464
472,KANSAINER_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,264.3,262.0,1,264.3,262.0,closed,-2.3,-0.8702
490,KANSAINER_minute,long,2024-03-28 15:21:00,2024-04-01 15:29:00,262.7,272.2,1,262.7,272.2,closed,9.5,3.6163
544,KANSAINER_minute,long,2024-04-04 15:21:00,2024-04-05 15:29:00,286.0,284.3,1,286.0,284.3,closed,-1.7,-0.5944
855,KANSAINER_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,277.0,277.75,1,277.0,277.75,closed,0.75,0.2708
1269,KANSAINER_minute,long,2024-07-15 15:21:00,2024-07-16 15:29:00,280.7,280.0,1,280.7,280.0,closed,-0.7,-0.2494
1568,KANSAINER_minute,long,2024-08-21 15:21:00,2024-08-22 15:29:00,296.8,301.15,1,296.8,301.15,closed,4.35,1.4656
1631,KANSAINER_minute,long,2024-08-29 15:21:00,2024-08-30 15:29:00,298.0,296.55,1,298.0,296.55,closed,-1.45,-0.4866
1733,KANSAINER_minute,long,2024-09-10 15:21:00,2024-09-11 15:29:00,307.7,316.45,1,307.7,316.45,closed,8.75,2.8437
1867,KANSAINER_minute,long,2024-09-24 15:21:00,2024-09-25 15:29:00,306.3,306.5,1,306.3,306.5,closed,0.2,0.0653
1917,KANSAINER_minute,long,2024-09-30 15:21:00,2024-10-01 15:29:00,309.1,312.05,1,309.1,312.05,closed,2.95,0.9544
1940,KANSAINER_minute,long,2024-10-03 15:21:00,2024-10-04 15:29:00,300.0,292.1,1,300.0,292.1,closed,-7.9,-2.6333
1955,KANSAINER_minute,long,2024-10-07 15:21:00,2024-10-08 15:29:00,280.75,287.6,1,280.75,287.6,closed,6.85,2.4399
1984,KANSAINER_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,287.05,291.75,1,287.05,291.75,closed,4.7,1.6373
2073,KANSAINER_minute,long,2024-10-16 15:21:00,2024-10-17 15:29:00,297.8,286.55,1,297.8,286.55,closed,-11.25,-3.7777
2150,KANSAINER_minute,long,2024-10-25 15:21:00,2024-10-28 15:29:00,279.6,282.0,1,279.6,282.0,closed,2.4,0.8584
2208,KANSAINER_minute,long,2024-10-31 15:21:00,2024-11-01 18:59:00,285.2,286.4,1,285.2,286.4,closed,1.2,0.4208
2235,KANSAINER_minute,long,2024-11-05 15:21:00,2024-11-06 15:29:00,283.65,285.8,1,283.65,285.8,closed,2.15,0.758
2267,KANSAINER_minute,long,2024-11-11 15:21:00,2024-11-12 15:29:00,269.0,264.85,1,269.0,264.85,closed,-4.15,-1.5428
2306,KANSAINER_minute,long,2024-11-14 15:21:00,2024-11-18 15:29:00,259.2,262.05,1,259.2,262.05,closed,2.85,1.0995
2471,KANSAINER_minute,long,2024-12-03 15:21:00,2024-12-04 15:29:00,281.85,278.1,1,281.85,278.1,closed,-3.75,-1.3305
2524,KANSAINER_minute,long,2024-12-09 15:21:00,2024-12-10 15:29:00,273.85,264.6,1,273.85,264.6,closed,-9.25,-3.3778
