,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
14,BANDHANBNK_minute,long,2024-01-20 15:21:00,2024-01-23 15:29:00,229.65,223.95,1,229.65,223.95,closed,-5.7,-2.482
296,BANDHANBNK_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,194.8,194.65,1,194.8,194.65,closed,-0.15,-0.077
316,BANDHANBNK_minute,long,2024-03-11 15:21:00,2024-03-12 15:29:00,192.1,188.55,1,192.1,188.55,closed,-3.55,-1.848
358,BANDHANBNK_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,179.5,183.45,1,179.5,183.45,closed,3.95,2.2006
380,BANDHANBNK_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,183.0,182.0,1,183.0,182.0,closed,-1.0,-0.5464
394,BANDHANBNK_minute,long,2024-03-18 15:21:00,2024-03-19 15:29:00,181.55,180.3,1,181.55,180.3,closed,-1.25,-0.6885
447,BANDHANBNK_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,181.0,179.85,1,181.0,179.85,closed,-1.15,-0.6354
485,BANDHANBNK_minute,long,2024-04-02 15:21:00,2024-04-03 15:29:00,193.35,190.9,1,193.35,190.9,closed,-2.45,-1.2671
523,BANDHANBNK_minute,long,2024-04-09 15:21:00,2024-04-10 15:29:00,182.75,183.35,1,182.75,183.35,closed,0.6,0.3283
555,BANDHANBNK_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,175.95,174.2,1,175.95,174.2,closed,-1.75,-0.9946
605,BANDHANBNK_minute,long,2024-04-22 15:21:00,2024-04-23 15:29:00,181.35,182.8,1,181.35,182.8,closed,1.45,0.7996
657,BANDHANBNK_minute,long,2024-04-26 15:21:00,2024-04-29 15:29:00,184.1,184.0,1,184.1,184.0,closed,-0.1,-0.0543
682,BANDHANBNK_minute,long,2024-05-02 15:21:00,2024-05-03 15:29:00,190.85,187.65,1,190.85,187.65,closed,-3.2,-1.6767
747,BANDHANBNK_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,187.0,188.2,1,187.0,188.2,closed,1.2,0.6417
764,BANDHANBNK_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,188.2,188.2,1,188.2,188.2,closed,0.0,0.0
821,BANDHANBNK_minute,long,2024-05-21 15:21:00,2024-05-22 15:29:00,184.1,183.85,1,184.1,183.85,closed,-0.25,-0.1358
893,BANDHANBNK_minute,long,2024-05-31 15:21:00,2024-06-03 15:29:00,188.75,195.05,1,188.75,195.05,closed,6.3,3.3377
1038,BANDHANBNK_minute,long,2024-06-24 15:21:00,2024-06-25 09:15:00,208.29,200.0,1,208.29,200.0,closed,-8.29,-3.98
1129,BANDHANBNK_minute,long,2024-07-03 15:21:00,2024-07-04 15:29:00,211.15,207.4,1,211.15,207.4,closed,-3.75,-1.776
1254,BANDHANBNK_minute,long,2024-07-24 15:21:00,2024-07-25 15:29:00,188.38,185.66,1,188.38,185.66,closed,-2.72,-1.4439
1285,BANDHANBNK_minute,long,2024-07-29 15:21:00,2024-07-30 15:29:00,219.21,219.49,1,219.21,219.49,closed,0.28,0.1277
1302,BANDHANBNK_minute,long,2024-07-30 15:21:00,2024-07-31 15:29:00,219.81,217.72,1,219.81,217.72,closed,-2.09,-0.9508
1344,BANDHANBNK_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,213.17,206.2,1,213.17,206.2,closed,-6.97,-3.2697
1352,BANDHANBNK_minute,long,2024-08-06 15:21:00,2024-08-07 15:29:00,201.21,204.33,1,201.21,204.33,closed,3.12,1.5506
1364,BANDHANBNK_minute,long,2024-08-07 15:21:00,2024-08-08 15:29:00,203.95,198.21,1,203.95,198.21,closed,-5.74,-2.8144
1418,BANDHANBNK_minute,long,2024-08-16 15:21:00,2024-08-19 15:29:00,191.6,192.24,1,191.6,192.24,closed,0.64,0.334
1456,BANDHANBNK_minute,long,2024-08-21 15:21:00,2024-08-22 15:29:00,204.55,206.23,1,204.55,206.23,closed,1.68,0.8213
1473,BANDHANBNK_minute,long,2024-08-22 15:21:00,2024-08-23 15:29:00,205.62,201.45,1,205.62,201.45,closed,-4.17,-2.028
1639,BANDHANBNK_minute,long,2024-09-10 15:21:00,2024-09-11 15:29:00,199.59,195.51,1,199.59,195.51,closed,-4.08,-2.0442
1699,BANDHANBNK_minute,long,2024-09-19 15:21:00,2024-09-20 15:29:00,211.86,209.48,1,211.86,209.48,closed,-2.38,-1.1234
1724,BANDHANBNK_minute,long,2024-09-20 15:21:00,2024-09-23 15:29:00,210.35,212.84,1,210.35,212.84,closed,2.49,1.1837
1776,BANDHANBNK_minute,long,2024-09-26 15:21:00,2024-09-27 15:29:00,205.35,204.47,1,205.35,204.47,closed,-0.88,-0.4285
