,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
8,INDHOTEL_minute,long,2024-01-20 15:21:00,2024-01-23 15:29:00,478.6,471.45,1,478.6,471.45,closed,-7.15,-1.4939
112,INDHOTEL_minute,long,2024-02-07 15:21:00,2024-02-08 15:29:00,524.9,526.15,1,524.9,526.15,closed,1.25,0.2381
149,INDHOTEL_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,528.9,527.85,1,528.9,527.85,closed,-1.05,-0.1985
241,INDHOTEL_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,588.65,589.25,1,588.65,589.25,closed,0.6,0.1019
305,INDHOTEL_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,566.1,561.35,1,566.1,561.35,closed,-4.75,-0.8391
325,INDHOTEL_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,563.4,554.1,1,563.4,554.1,closed,-9.3,-1.6507
385,INDHOTEL_minute,long,2024-03-22 15:21:00,2024-03-26 09:15:00,558.4,549.05,1,558.4,549.05,closed,-9.35,-1.6744
422,INDHOTEL_minute,long,2024-03-28 15:21:00,2024-04-01 15:29:00,591.1,603.3,1,591.1,603.3,closed,12.2,2.0639
546,INDHOTEL_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,595.55,585.95,1,595.55,585.95,closed,-9.6,-1.612
567,INDHOTEL_minute,long,2024-04-19 15:21:00,2024-04-22 09:17:00,597.85,598.3,1,597.85,598.3,closed,0.45,0.0753
594,INDHOTEL_minute,long,2024-04-23 15:21:00,2024-04-24 15:29:00,605.3,606.15,1,605.3,606.15,closed,0.85,0.1404
604,INDHOTEL_minute,long,2024-04-24 15:21:00,2024-04-25 09:15:00,609.35,590.0,1,609.35,590.0,closed,-19.35,-3.1755
638,INDHOTEL_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,583.55,576.5,1,583.55,576.5,closed,-7.05,-1.2081
691,INDHOTEL_minute,long,2024-05-08 15:21:00,2024-05-09 15:29:00,564.3,550.3,1,564.3,550.3,closed,-14.0,-2.4809
706,INDHOTEL_minute,long,2024-05-10 15:21:00,2024-05-13 09:16:00,543.85,540.54,1,543.85,540.54,closed,-3.31,-0.6086
723,INDHOTEL_minute,long,2024-05-13 15:21:00,2024-05-14 09:15:00,559.0,557.47,1,559.0,557.47,closed,-1.53,-0.2739
747,INDHOTEL_minute,long,2024-05-14 15:21:00,2024-05-15 15:29:00,565.55,561.0,1,565.55,561.0,closed,-4.55,-0.8045
790,INDHOTEL_minute,long,2024-05-22 15:21:00,2024-05-23 15:29:00,573.25,567.4,1,573.25,567.4,closed,-5.85,-1.0205
801,INDHOTEL_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,568.3,568.3,1,568.3,568.3,closed,0.0,0.0
815,INDHOTEL_minute,long,2024-05-27 15:21:00,2024-05-28 15:29:00,582.05,571.8,1,582.05,571.8,closed,-10.25,-1.761
844,INDHOTEL_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,559.5,571.23,1,559.5,571.23,closed,11.73,2.0965
875,INDHOTEL_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,575.9,574.35,1,575.9,574.35,closed,-1.55,-0.2694
942,INDHOTEL_minute,long,2024-06-14 15:21:00,2024-06-18 15:29:00,614.25,621.3,1,614.25,621.3,closed,7.05,1.1477
964,INDHOTEL_minute,long,2024-06-20 15:21:00,2024-06-21 15:29:00,639.0,636.2,1,639.0,636.2,closed,-2.8,-0.4382
990,INDHOTEL_minute,long,2024-06-24 15:21:00,2024-06-25 09:15:00,649.65,648.35,1,649.65,648.35,closed,-1.3,-0.2
1010,INDHOTEL_minute,long,2024-06-27 15:21:00,2024-06-28 15:29:00,628.0,624.6,1,628.0,624.6,closed,-3.4,-0.5414
1018,INDHOTEL_minute,long,2024-06-28 15:21:00,2024-07-01 09:15:00,625.05,619.74,1,625.05,619.74,closed,-5.31,-0.8495
1072,INDHOTEL_minute,long,2024-07-08 15:21:00,2024-07-09 15:29:00,608.3,608.45,1,608.3,608.45,closed,0.15,0.0247
1148,INDHOTEL_minute,long,2024-07-23 15:21:00,2024-07-24 15:29:00,623.75,635.4,1,623.75,635.4,closed,11.65,1.8677
1193,INDHOTEL_minute,long,2024-07-29 15:21:00,2024-07-30 09:15:00,650.1,643.6,1,650.1,643.6,closed,-6.5,-1.0
1279,INDHOTEL_minute,long,2024-08-07 15:21:00,2024-08-08 15:29:00,621.0,614.25,1,621.0,614.25,closed,-6.75,-1.087
1298,INDHOTEL_minute,long,2024-08-09 15:21:00,2024-08-12 09:15:00,619.35,613.16,1,619.35,613.16,closed,-6.19,-1.0
1333,INDHOTEL_minute,long,2024-08-16 15:21:00,2024-08-19 15:29:00,623.45,615.95,1,623.45,615.95,closed,-7.5,-1.203
1351,INDHOTEL_minute,long,2024-08-19 15:21:00,2024-08-20 09:15:00,615.5,617.66,1,615.5,617.66,closed,2.16,0.3511
1361,INDHOTEL_minute,long,2024-08-20 15:21:00,2024-08-21 15:29:00,617.1,621.95,1,617.1,621.95,closed,4.85,0.7859
1385,INDHOTEL_minute,long,2024-08-23 15:21:00,2024-08-26 15:29:00,641.2,660.05,1,641.2,660.05,closed,18.85,2.9398
