,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
15,MFSL_minute,long,2024-01-20 15:21:00,2024-01-23 09:18:00,888.55,884.47,1,888.55,884.47,closed,-4.08,-0.4596
153,MFSL_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,971.55,950.0,1,971.55,950.0,closed,-21.55,-2.2181
216,MFSL_minute,long,2024-02-26 15:21:00,2024-02-27 09:15:00,925.05,915.8,1,925.05,915.8,closed,-9.25,-1.0
224,MFSL_minute,long,2024-02-27 15:21:00,2024-02-28 15:29:00,936.4,963.15,1,936.4,963.15,closed,26.75,2.8567
229,MFSL_minute,long,2024-02-28 15:21:00,2024-02-29 15:29:00,965.15,971.35,1,965.15,971.35,closed,6.2,0.6424
343,MFSL_minute,long,2024-03-15 15:21:00,2024-03-18 09:15:00,963.3,953.67,1,963.3,953.67,closed,-9.63,-1.0
408,MFSL_minute,long,2024-03-27 15:21:00,2024-03-28 09:18:00,1018.65,1017.13,1,1018.65,1017.13,closed,-1.52,-0.1496
419,MFSL_minute,long,2024-03-28 15:21:00,2024-04-01 15:29:00,1001.05,1017.3,1,1001.05,1017.3,closed,16.25,1.6233
537,MFSL_minute,long,2024-04-16 15:21:00,2024-04-18 15:29:00,1003.0,1008.6,1,1003.0,1008.6,closed,5.6,0.5583
552,MFSL_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,1005.3,995.25,1,1005.3,995.25,closed,-10.05,-1.0
634,MFSL_minute,long,2024-04-26 15:21:00,2024-04-29 09:15:00,997.8,992.28,1,997.8,992.28,closed,-5.52,-0.5535
687,MFSL_minute,long,2024-05-07 15:21:00,2024-05-08 09:15:00,968.9,973.6,1,968.9,973.6,closed,4.7,0.4851
697,MFSL_minute,long,2024-05-08 15:21:00,2024-05-09 15:29:00,985.5,965.25,1,985.5,965.25,closed,-20.25,-2.0548
717,MFSL_minute,long,2024-05-10 15:21:00,2024-05-13 09:15:00,974.75,968.07,1,974.75,968.07,closed,-6.68,-0.6852
762,MFSL_minute,long,2024-05-17 15:21:00,2024-05-18 09:15:00,1020.45,1019.7,1,1020.45,1019.7,closed,-0.75,-0.0735
793,MFSL_minute,long,2024-05-23 15:21:00,2024-05-24 09:15:00,965.35,956.39,1,965.35,956.39,closed,-8.96,-0.9282
984,MFSL_minute,long,2024-06-24 15:21:00,2024-06-25 15:29:00,989.0,976.8,1,989.0,976.8,closed,-12.2,-1.2336
1127,MFSL_minute,long,2024-07-19 15:21:00,2024-07-22 09:16:00,1013.8,1003.66,1,1013.8,1003.66,closed,-10.14,-1.0
1198,MFSL_minute,long,2024-07-29 15:21:00,2024-07-30 15:29:00,1096.8,1090.5,1,1096.8,1090.5,closed,-6.3,-0.5744
1208,MFSL_minute,long,2024-07-30 15:21:00,2024-07-31 15:29:00,1086.95,1115.1,1,1086.95,1115.1,closed,28.15,2.5898
1216,MFSL_minute,long,2024-07-31 15:21:00,2024-08-01 15:29:00,1114.5,1100.3,1,1114.5,1100.3,closed,-14.2,-1.2741
1244,MFSL_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,1107.55,1059.3,1,1107.55,1059.3,closed,-48.25,-4.3565
1338,MFSL_minute,long,2024-08-16 15:21:00,2024-08-19 09:15:00,1018.85,1021.58,1,1018.85,1021.58,closed,2.73,0.268
1388,MFSL_minute,long,2024-08-23 15:21:00,2024-08-26 15:29:00,1061.9,1074.0,1,1061.9,1074.0,closed,12.1,1.1395
1466,MFSL_minute,long,2024-09-03 15:21:00,2024-09-04 09:15:00,1132.6,1120.0,1,1132.6,1120.0,closed,-12.6,-1.1125
1484,MFSL_minute,long,2024-09-05 15:21:00,2024-09-06 15:29:00,1120.0,1120.55,1,1120.0,1120.55,closed,0.55,0.0491
1499,MFSL_minute,long,2024-09-06 15:21:00,2024-09-09 09:17:00,1125.8,1121.52,1,1125.8,1121.52,closed,-4.28,-0.38
1573,MFSL_minute,long,2024-09-17 15:21:00,2024-09-18 15:29:00,1151.95,1138.55,1,1151.95,1138.55,closed,-13.4,-1.1632
1613,MFSL_minute,long,2024-09-20 15:21:00,2024-09-23 15:29:00,1159.9,1192.75,1,1159.9,1192.75,closed,32.85,2.8321
1675,MFSL_minute,long,2024-09-27 15:21:00,2024-09-30 15:29:00,1182.45,1187.3,1,1182.45,1187.3,closed,4.85,0.4102
1763,MFSL_minute,long,2024-10-09 15:21:00,2024-10-10 09:16:00,1191.4,1193.74,1,1191.4,1193.74,closed,2.34,0.1966
1834,MFSL_minute,long,2024-10-17 15:21:00,2024-10-18 09:15:00,1174.3,1167.85,1,1174.3,1167.85,closed,-6.45,-0.549
1882,MFSL_minute,long,2024-10-24 15:21:00,2024-10-25 09:15:00,1286.25,1287.8,1,1286.25,1287.8,closed,1.55,0.1205
1987,MFSL_minute,long,2024-11-04 15:21:00,2024-11-05 15:29:00,1255.0,1245.45,1,1255.0,1245.45,closed,-9.55,-0.761
2020,MFSL_minute,long,2024-11-07 15:21:00,2024-11-08 15:29:00,1239.4,1221.7,1,1239.4,1221.7,closed,-17.7,-1.4281
2038,MFSL_minute,long,2024-11-13 15:21:00,2024-11-14 09:15:00,1198.15,1193.6,1,1198.15,1193.6,closed,-4.55,-0.3798
2073,MFSL_minute,long,2024-11-14 15:21:00,2024-11-18 09:16:00,1233.85,1226.31,1,1233.85,1226.31,closed,-7.54,-0.6109
2366,MFSL_minute,long,2024-12-23 15:21:00,2024-12-24 15:29:00,1101.9,1098.05,1,1101.9,1098.05,closed,-3.85,-0.3494
2400,MFSL_minute,long,2024-12-26 15:21:00,2024-12-27 15:29:00,1115.8,1103.1,1,1115.8,1103.1,closed,-12.7,-1.1382
