,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
17,METROBRAND_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,1070.0,1092.0,1,1070.0,1092.0,closed,22.0,2.0561
34,METROBRAND_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,1178.05,1151.25,1,1178.05,1151.25,closed,-26.8,-2.2749
38,METROBRAND_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,1151.0,1118.85,1,1151.0,1118.85,closed,-32.15,-2.7932
60,METROBRAND_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,1033.9,1219.0,1,1033.9,1219.0,closed,185.1,17.9031
63,METROBRAND_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,1224.0,1128.5,1,1224.0,1128.5,closed,-95.5,-7.8023
64,METROBRAND_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,1129.8,1119.75,1,1129.8,1119.75,closed,-10.05,-0.8895
67,METROBRAND_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,1122.5,1134.0,1,1122.5,1134.0,closed,11.5,1.0245
69,METROBRAND_minute,long,2024-03-26 15:26:00,2024-03-27 15:29:00,1136.0,1150.0,1,1136.0,1150.0,closed,14.0,1.2324
76,METROBRAND_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,1145.7,1155.3,1,1145.7,1155.3,closed,9.6,0.8379
77,METROBRAND_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,1156.1,1128.25,1,1156.1,1128.25,closed,-27.85,-2.409
121,METROBRAND_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,1058.0,1034.5,1,1058.0,1034.5,closed,-23.5,-2.2212
177,METROBRAND_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,1263.1,1250.0,1,1263.1,1250.0,closed,-13.1,-1.0371
178,METROBRAND_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,1249.05,1246.15,1,1249.05,1246.15,closed,-2.9,-0.2322
183,METROBRAND_minute,long,2024-06-25 15:26:00,2024-06-26 15:29:00,1248.7,1226.5,1,1248.7,1226.5,closed,-22.2,-1.7778
203,METROBRAND_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,1287.95,1282.5,1,1287.95,1282.5,closed,-5.45,-0.4232
230,METROBRAND_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,1300.6,1319.8,1,1300.6,1319.8,closed,19.2,1.4762
240,METROBRAND_minute,long,2024-08-01 15:26:00,2024-08-02 15:29:00,1360.0,1346.05,1,1360.0,1346.05,closed,-13.95,-1.0257
247,METROBRAND_minute,long,2024-08-05 15:26:00,2024-08-06 15:29:00,1315.05,1309.0,1,1315.05,1309.0,closed,-6.05,-0.4601
248,METROBRAND_minute,long,2024-08-06 15:26:00,2024-08-07 15:29:00,1312.55,1310.5,1,1312.55,1310.5,closed,-2.05,-0.1562
262,METROBRAND_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,1343.1,1330.0,1,1343.1,1330.0,closed,-13.1,-0.9754
278,METROBRAND_minute,long,2024-08-27 15:26:00,2024-08-28 15:29:00,1315.25,1317.05,1,1315.25,1317.05,closed,1.8,0.1369
299,METROBRAND_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,1256.3,1256.9,1,1256.3,1256.9,closed,0.6,0.0478
310,METROBRAND_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,1252.0,1230.55,1,1252.0,1230.55,closed,-21.45,-1.7133
330,METROBRAND_minute,long,2024-09-30 15:26:00,2024-10-01 15:29:00,1279.5,1282.0,1,1279.5,1282.0,closed,2.5,0.1954
354,METROBRAND_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,1270.1,1270.05,1,1270.1,1270.05,closed,-0.05,-0.0039
370,METROBRAND_minute,long,2024-10-24 15:26:00,2024-10-25 15:29:00,1165.0,1185.0,1,1165.0,1185.0,closed,20.0,1.7167
374,METROBRAND_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,1171.65,1184.7,1,1171.65,1184.7,closed,13.05,1.1138
390,METROBRAND_minute,long,2024-11-11 15:26:00,2024-11-12 15:29:00,1179.35,1149.9,1,1179.35,1149.9,closed,-29.45,-2.4971
403,METROBRAND_minute,long,2024-11-19 15:26:00,2024-11-21 15:29:00,1121.1,1122.5,1,1121.1,1122.5,closed,1.4,0.1249
407,METROBRAND_minute,long,2024-11-21 15:26:00,2024-11-22 15:29:00,1123.85,1145.55,1,1123.85,1145.55,closed,21.7,1.9309
