,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,TECHM_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,1265.4,1271.5,1,1265.4,1271.5,closed,6.1,0.4821
18,TECHM_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,1244.2,1248.7,1,1244.2,1248.7,closed,4.5,0.3617
33,TECHM_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,1226.0,1222.8,1,1226.0,1222.8,closed,-3.2,-0.261
38,TECHM_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,1223.0,1221.5,1,1223.0,1221.5,closed,-1.5,-0.1226
43,TECHM_minute,long,2024-03-11 15:26:00,2024-03-12 15:29:00,1239.1,1244.3,1,1239.1,1244.3,closed,5.2,0.4197
59,TECHM_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,1206.9,1198.4,1,1206.9,1198.4,closed,-8.5,-0.7043
117,TECHM_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,1180.5,1197.6,1,1180.5,1197.6,closed,17.1,1.4485
121,TECHM_minute,long,2024-06-03 15:26:00,2024-06-04 15:29:00,1197.1,1188.0,1,1197.1,1188.0,closed,-9.1,-0.7602
123,TECHM_minute,long,2024-06-05 15:26:00,2024-06-06 15:29:00,1222.4,1272.0,1,1222.4,1272.0,closed,49.6,4.0576
125,TECHM_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,1269.7,1319.4,1,1269.7,1319.4,closed,49.7,3.9143
148,TECHM_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,1377.1,1418.6,1,1377.1,1418.6,closed,41.5,3.0136
151,TECHM_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,1420.8,1417.0,1,1420.8,1417.0,closed,-3.8,-0.2675
162,TECHM_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,1418.1,1414.4,1,1418.1,1414.4,closed,-3.7,-0.2609
175,TECHM_minute,long,2024-07-16 15:26:00,2024-07-18 15:29:00,1461.6,1486.9,1,1461.6,1486.9,closed,25.3,1.731
189,TECHM_minute,long,2024-07-24 15:26:00,2024-07-25 15:29:00,1509.1,1512.2,1,1509.1,1512.2,closed,3.1,0.2054
199,TECHM_minute,long,2024-08-05 15:26:00,2024-08-06 15:29:00,1432.4,1456.3,1,1432.4,1456.3,closed,23.9,1.6685
211,TECHM_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,1477.5,1498.5,1,1477.5,1498.5,closed,21.0,1.4213
215,TECHM_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,1499.5,1555.0,1,1499.5,1555.0,closed,55.5,3.7012
230,TECHM_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,1571.9,1608.6,1,1571.9,1608.6,closed,36.7,2.3348
255,TECHM_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,1613.1,1600.8,1,1613.1,1600.8,closed,-12.3,-0.7625
320,TECHM_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,1618.5,1662.9,1,1618.5,1662.9,closed,44.4,2.7433
328,TECHM_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,1630.7,1668.4,1,1630.7,1668.4,closed,37.7,2.3119
347,TECHM_minute,long,2024-10-30 15:26:00,2024-10-31 15:29:00,1655.6,1582.8,1,1655.6,1582.8,closed,-72.8,-4.3972
350,TECHM_minute,long,2024-10-31 15:26:00,2024-11-01 18:59:00,1581.6,1574.0,1,1581.6,1574.0,closed,-7.6,-0.4805
356,TECHM_minute,long,2024-11-06 15:26:00,2024-11-07 15:29:00,1664.5,1622.4,1,1664.5,1622.4,closed,-42.1,-2.5293
358,TECHM_minute,long,2024-11-07 15:26:00,2024-11-08 15:29:00,1623.3,1644.2,1,1623.3,1644.2,closed,20.9,1.2875
367,TECHM_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,1657.7,1644.9,1,1657.7,1644.9,closed,-12.8,-0.7722
407,TECHM_minute,long,2024-12-19 15:26:00,2024-12-20 15:29:00,1728.4,1652.9,1,1728.4,1652.9,closed,-75.5,-4.3682
415,TECHM_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,1675.4,1668.3,1,1675.4,1668.3,closed,-7.1,-0.4238
420,TECHM_minute,long,2024-12-27 15:26:00,2024-12-30 15:29:00,1682.0,1698.8,1,1682.0,1698.8,closed,16.8,0.9988
