,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
8,PCBL_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,325.0,336.75,1,325.0,336.75,closed,11.75,3.6154
10,PCBL_minute,long,2024-02-08 15:26:00,2024-02-09 09:15:00,335.4,335.07,1,335.4,335.07,closed,-0.33,-0.0997
12,PCBL_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,303.55,308.4,1,303.55,308.4,closed,4.85,1.5978
14,PCBL_minute,long,2024-02-15 15:26:00,2024-02-16 09:16:00,307.1,311.75,1,307.1,311.75,closed,4.65,1.5145
19,PCBL_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,304.55,302.0,1,304.55,302.0,closed,-2.55,-0.8373
24,PCBL_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,294.7,299.0,1,294.7,299.0,closed,4.3,1.4591
42,PCBL_minute,long,2024-04-09 15:26:00,2024-04-10 09:15:00,280.45,277.65,1,280.45,277.65,closed,-2.8,-1.0
46,PCBL_minute,long,2024-04-19 15:26:00,2024-04-22 09:15:00,258.55,260.0,1,258.55,260.0,closed,1.45,0.5608
62,PCBL_minute,long,2024-05-07 15:26:00,2024-05-08 15:29:00,254.6,262.1,1,254.6,262.1,closed,7.5,2.9458
68,PCBL_minute,long,2024-05-15 15:26:00,2024-05-16 09:15:00,256.95,258.49,1,256.95,258.49,closed,1.54,0.5989
82,PCBL_minute,long,2024-06-04 15:26:00,2024-06-05 09:15:00,217.05,220.5,1,217.05,220.5,closed,3.45,1.5895
86,PCBL_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,246.93,244.06,1,246.93,244.06,closed,-2.87,-1.1623
99,PCBL_minute,long,2024-06-25 15:26:00,2024-06-26 09:15:00,270.98,268.54,1,270.98,268.54,closed,-2.44,-0.9014
111,PCBL_minute,long,2024-07-10 15:26:00,2024-07-11 09:15:00,262.85,274.4,1,262.85,274.4,closed,11.55,4.3941
112,PCBL_minute,long,2024-07-11 15:26:00,2024-07-12 09:15:00,274.55,276.7,1,274.55,276.7,closed,2.15,0.7849
115,PCBL_minute,long,2024-07-12 15:26:00,2024-07-15 09:15:00,275.05,276.21,1,275.05,276.21,closed,1.16,0.4217
120,PCBL_minute,long,2024-07-24 15:26:00,2024-07-25 09:15:00,292.6,289.67,1,292.6,289.67,closed,-2.93,-1.0
132,PCBL_minute,long,2024-08-06 15:26:00,2024-08-07 09:15:00,389.0,396.84,1,389.0,396.84,closed,7.84,2.0158
133,PCBL_minute,long,2024-08-07 15:26:00,2024-08-08 09:15:00,387.1,384.62,1,387.1,384.62,closed,-2.49,-0.642
147,PCBL_minute,long,2024-08-20 15:26:00,2024-08-21 09:16:00,423.8,421.24,1,423.8,421.24,closed,-2.56,-0.6029
154,PCBL_minute,long,2024-08-28 15:26:00,2024-08-29 09:17:00,491.4,489.06,1,491.4,489.06,closed,-2.34,-0.4762
157,PCBL_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,484.0,492.5,1,484.0,492.5,closed,8.5,1.7562
158,PCBL_minute,long,2024-08-30 15:26:00,2024-09-02 09:18:00,491.25,487.18,1,491.25,487.18,closed,-4.07,-0.8287
162,PCBL_minute,long,2024-09-02 15:26:00,2024-09-03 15:29:00,488.35,504.95,1,488.35,504.95,closed,16.6,3.3992
165,PCBL_minute,long,2024-09-05 15:26:00,2024-09-06 09:17:00,490.65,488.61,1,490.65,488.61,closed,-2.04,-0.4149
170,PCBL_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,479.65,489.0,1,479.65,489.0,closed,9.35,1.9493
183,PCBL_minute,long,2024-09-18 15:26:00,2024-09-19 09:15:00,537.2,532.37,1,537.2,532.37,closed,-4.83,-0.8986
191,PCBL_minute,long,2024-09-25 15:26:00,2024-09-26 09:19:00,532.0,529.06,1,532.0,529.06,closed,-2.94,-0.5534
216,PCBL_minute,long,2024-10-16 15:26:00,2024-10-17 09:15:00,503.2,499.75,1,503.2,499.75,closed,-3.45,-0.6852
218,PCBL_minute,long,2024-10-17 15:26:00,2024-10-18 09:15:00,484.0,479.16,1,484.0,479.16,closed,-4.84,-1.0
239,PCBL_minute,long,2024-11-11 15:26:00,2024-11-12 09:15:00,413.25,415.0,1,413.25,415.0,closed,1.75,0.4235
252,PCBL_minute,long,2024-12-02 15:26:00,2024-12-03 15:29:00,435.7,439.6,1,435.7,439.6,closed,3.9,0.8951
255,PCBL_minute,long,2024-12-03 15:26:00,2024-12-04 09:15:00,441.0,438.87,1,441.0,438.87,closed,-2.13,-0.4837
256,PCBL_minute,long,2024-12-05 15:26:00,2024-12-06 09:15:00,470.1,467.18,1,470.1,467.18,closed,-2.92,-0.6209
262,PCBL_minute,long,2024-12-12 15:26:00,2024-12-13 09:15:00,470.6,465.89,1,470.6,465.89,closed,-4.71,-1.0
