TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-20 15:26:00,long,3048.15,3,0.0,9144.45,19755,6945,164.62,694.5
2024-01-23 09:18:00,close,3037.32,3,-32.49,9111.96,0,0,0.0,0.0
2024-01-25 15:26:00,long,2874.4,3,0.0,8623.2,385289,197205,3210.74,19720.5
2024-01-29 09:43:00,close,2892.19,3,53.36,8676.56,0,0,0.0,0.0
2024-02-29 15:26:00,long,3159.6,3,0.0,9478.8,1561612,902405,13013.43,90240.5
2024-03-01 10:03:00,close,3137.8,3,-65.39,9413.41,0,0,0.0,0.0
2024-03-05 15:26:00,long,3189.75,3,0.0,9569.25,81336,40006,677.8,4000.6
2024-03-06 09:21:00,close,3164.93,3,-74.46,9494.79,0,0,0.0,0.0
2024-03-15 15:26:00,short,3202.0,3,0.0,9606.0,1022302,645038,8519.18,64503.8
2024-03-15 15:29:00,close,3173.95,3,84.15,9521.85,0,0,0.0,0.0
2024-04-05 15:26:00,long,3506.0,2,0.0,7012.0,79929,33390,666.08,3339.0
2024-04-08 09:46:00,close,3512.52,2,13.04,7025.04,0,0,0.0,0.0
2024-04-12 15:26:00,short,3674.95,2,0.0,7349.9,1151011,458581,9591.76,45858.1
2024-04-12 15:29:00,close,3679.95,2,-10.0,7359.9,0,0,0.0,0.0
2024-04-24 15:26:00,long,3743.9,2,0.0,7487.8,204592,78927,1704.93,7892.7
2024-04-26 09:45:00,close,3842.59,2,197.37,7685.17,0,0,0.0,0.0
2024-05-06 15:26:00,long,4001.55,2,0.0,8003.1,116666,39152,972.22,3915.2
2024-05-07 09:56:00,close,3999.55,2,-4.0,7999.1,0,0,0.0,0.0
2024-05-10 15:26:00,long,4026.05,2,0.0,8052.1,168243,59359,1402.02,5935.9
2024-05-13 09:33:00,close,4019.4,2,-13.3,8038.8,0,0,0.0,0.0
2024-05-24 15:26:00,short,4250.35,2,0.0,8500.7,579527,205619,4829.39,20561.9
2024-05-24 15:29:00,close,4251.05,2,-1.4,8502.1,0,0,0.0,0.0
2024-05-31 15:26:00,long,4206.95,2,0.0,8413.9,657133,364287,5476.11,36428.7
2024-05-31 15:28:00,close,4175.62,2,-62.66,8351.24,0,0,0.0,0.0
2024-07-01 15:26:00,short,4218.6,2,0.0,8437.2,331424,146185,2761.87,14618.5
2024-07-01 15:29:00,close,4228.0,2,-18.8,8456.0,0,0,0.0,0.0
2024-07-10 15:26:00,long,4285.5,2,0.0,8571.0,125998,80135,1049.98,8013.5
2024-07-12 10:48:00,close,4325.21,2,79.42,8650.42,0,0,0.0,0.0
2024-07-23 15:26:00,long,4314.95,2,0.0,8629.9,168039,76527,1400.32,7652.7
2024-07-24 15:26:00,long,4382.8,2,0.0,8765.6,182001,72484,1516.68,7248.4
2024-07-24 11:08:00,close,4339.07,2,48.24,8678.14,0,0,0.0,0.0
2024-07-25 09:15:00,close,4350.0,2,-65.6,8700.0,0,0,0.0,0.0
2024-08-08 15:26:00,long,4254.9,2,0.0,8509.8,126991,42674,1058.26,4267.4
2024-08-09 15:26:00,short,4290.25,2,0.0,8580.5,68270,26533,568.92,2653.3
2024-08-09 13:38:00,close,4274.82,2,39.84,8549.64,0,0,0.0,0.0
2024-08-09 15:29:00,close,4277.8,2,24.9,8555.6,0,0,0.0,0.0
2024-08-14 15:26:00,short,4209.75,2,0.0,8419.5,161790,73146,1348.25,7314.6
2024-08-14 15:29:00,close,4205.0,2,9.5,8410.0,0,0,0.0,0.0
2024-08-21 15:26:00,short,4300.35,2,0.0,8600.7,147376,58504,1228.13,5850.4
2024-08-21 15:29:00,close,4308.65,2,-16.6,8617.3,0,0,0.0,0.0
2024-09-03 15:26:00,short,4805.3,2,0.0,9610.6,571909,248060,4765.91,24806.0
2024-09-03 15:29:00,close,4804.0,2,2.6,9608.0,0,0,0.0,0.0
2024-09-09 15:26:00,long,4818.1,2,0.0,9636.2,298345,151873,2486.21,15187.3
2024-09-10 10:00:00,close,4782.44,2,-71.32,9564.88,0,0,0.0,0.0
2024-09-27 15:26:00,short,4941.15,2,0.0,9882.3,528759,180927,4406.32,18092.7
2024-09-27 15:29:00,close,4931.75,2,18.8,9863.5,0,0,0.0,0.0
2024-10-08 15:26:00,short,4603.15,2,0.0,9206.3,313056,143704,2608.8,14370.4
2024-10-08 15:29:00,close,4609.4,2,-12.5,9218.8,0,0,0.0,0.0
2024-10-16 15:26:00,long,4706.8,2,0.0,9413.6,791137,385737,6592.81,38573.7
2024-10-17 09:50:00,close,4677.75,2,-58.1,9355.5,0,0,0.0,0.0
2024-11-12 15:26:00,short,3902.5,2,0.0,7805.0,316434,124500,2636.95,12450.0
2024-11-12 15:29:00,close,3910.75,2,-16.5,7821.5,0,0,0.0,0.0
2024-11-25 15:26:00,long,4250.5,2,0.0,8501.0,505801,250026,4215.01,25002.6
2024-11-26 09:29:00,close,4249.08,2,-2.84,8498.16,0,0,0.0,0.0
2024-12-11 15:26:00,short,4465.4,2,0.0,8930.8,62607,30693,521.72,3069.3
2024-12-11 15:29:00,close,4476.2,2,-21.6,8952.4,0,0,0.0,0.0
2024-12-30 15:26:00,long,4606.05,2,0.0,9212.1,447833,287433,3731.94,28743.3
2024-12-31 10:07:00,close,4584.89,2,-42.32,9169.78,0,0,0.0,0.0
