TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,3179.45,3,0.0,9538.35,46325,11792,386.04,1179.2
2024-01-01 15:29:00,close,3181.45,3,-6.0,9544.35,0,0,0.0,0.0
2024-01-03 15:26:00,long,3235.55,3,0.0,9706.65,27859,13405,232.16,1340.5
2024-01-04 09:15:00,close,3246.66,3,33.32,9739.97,0,0,0.0,0.0
2024-01-05 15:26:00,long,3363.65,2,0.0,6727.3,33500,11032,279.17,1103.2
2024-01-08 15:26:00,short,3327.1,2,0.0,6654.2,48361,18388,403.01,1838.8
2024-01-08 09:15:00,close,3384.66,2,42.02,6769.32,0,0,0.0,0.0
2024-01-08 15:29:00,close,3338.0,2,-21.8,6676.0,0,0,0.0,0.0
2024-01-09 15:26:00,short,3219.9,3,0.0,9659.7,50683,19923,422.36,1992.3
2024-01-09 15:29:00,close,3221.7,3,-5.4,9665.1,0,0,0.0,0.0
2024-01-12 15:26:00,long,2987.35,3,0.0,8962.05,71091,26225,592.42,2622.5
2024-01-15 09:16:00,close,2999.7,3,37.05,8999.1,0,0,0.0,0.0
2024-01-18 15:26:00,short,3116.85,3,0.0,9350.55,63897,20950,532.48,2095.0
2024-01-18 15:29:00,close,3123.45,3,-19.8,9370.35,0,0,0.0,0.0
2024-01-20 15:26:00,short,3028.0,3,0.0,9084.0,32952,12152,274.6,1215.2
2024-01-20 15:29:00,close,3040.0,3,-36.0,9120.0,0,0,0.0,0.0
2024-01-23 15:26:00,short,2992.2,3,0.0,8976.6,46699,19181,389.16,1918.1
2024-01-23 15:29:00,close,2985.0,3,21.6,8955.0,0,0,0.0,0.0
2024-01-25 15:26:00,short,3175.0,3,0.0,9525.0,61349,21089,511.24,2108.9
2024-01-25 15:29:00,close,3182.0,3,-21.0,9546.0,0,0,0.0,0.0
2024-02-02 15:26:00,long,3202.05,3,0.0,9606.15,41993,13284,349.94,1328.4
2024-02-05 09:16:00,close,3176.86,3,-75.57,9530.58,0,0,0.0,0.0
2024-02-06 15:26:00,long,3263.45,3,0.0,9790.35,37896,20527,315.8,2052.7
2024-02-07 15:26:00,short,3284.0,2,0.0,6568.0,37009,9770,308.41,977.0
2024-02-07 09:20:00,close,3246.45,3,-51.0,9739.35,0,0,0.0,0.0
2024-02-07 15:29:00,close,3270.0,2,28.0,6540.0,0,0,0.0,0.0
2024-02-12 15:26:00,long,3229.7,3,0.0,9689.1,18249,8440,152.07,844.0
2024-02-13 09:15:00,close,3217.5,3,-36.6,9652.5,0,0,0.0,0.0
2024-02-14 15:26:00,short,3288.85,3,0.0,9866.55,28398,8019,236.65,801.9
2024-02-14 15:29:00,close,3295.0,3,-18.45,9885.0,0,0,0.0,0.0
2024-02-16 15:26:00,short,3270.85,3,0.0,9812.55,33995,9107,283.29,910.7
2024-02-16 15:29:00,close,3280.0,3,-27.45,9840.0,0,0,0.0,0.0
2024-02-20 15:26:00,long,3295.95,3,0.0,9887.85,34790,10287,289.92,1028.7
2024-02-21 15:26:00,short,3204.5,2,0.0,6409.0,25402,7834,211.68,783.4
2024-02-21 09:16:00,close,3267.0,3,-86.85,9801.0,0,0,0.0,0.0
2024-02-21 15:29:00,close,3215.65,2,-22.3,6431.3,0,0,0.0,0.0
2024-02-22 15:26:00,short,3112.7,3,0.0,9338.1,57841,16304,482.01,1630.4
2024-02-22 15:29:00,close,3117.0,3,-12.9,9351.0,0,0,0.0,0.0
2024-02-29 15:26:00,short,3202.9,3,0.0,9608.7,40238,22866,335.32,2286.6
2024-02-29 15:29:00,close,3202.85,3,0.15,9608.55,0,0,0.0,0.0
2024-03-01 15:26:00,short,3205.65,3,0.0,9616.95,19596,7306,163.3,730.6
2024-03-01 15:29:00,close,3207.0,3,-4.05,9621.0,0,0,0.0,0.0
2024-03-05 15:26:00,short,3377.0,2,0.0,6754.0,35968,11380,299.73,1138.0
2024-03-05 15:29:00,close,3371.3,2,11.4,6742.6,0,0,0.0,0.0
2024-03-11 15:26:00,short,3347.35,2,0.0,6694.7,28662,12361,238.85,1236.1
2024-03-11 15:29:00,close,3344.0,2,6.7,6688.0,0,0,0.0,0.0
2024-03-13 15:26:00,short,3006.7,3,0.0,9020.1,106875,29472,890.62,2947.2
2024-03-13 15:29:00,close,3030.0,3,-69.9,9090.0,0,0,0.0,0.0
2024-03-22 15:26:00,long,3424.75,2,0.0,6849.5,26730,8475,222.75,847.5
2024-03-26 15:26:00,long,3490.05,2,0.0,6980.1,43230,20636,360.25,2063.6
2024-03-26 09:15:00,close,3409.56,2,-30.38,6819.12,0,0,0.0,0.0
