TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-02 15:26:00,short,1295.25,7,0.0,9066.75,950760,169255,7923.0,16925.5
2024-01-02 15:29:00,close,1295.15,7,0.7,9066.05,0,0,0.0,0.0
2024-01-03 15:26:00,long,1298.6,7,0.0,9090.2,558373,74727,4653.11,7472.7
2024-01-04 15:26:00,long,1310.85,6,0.0,7865.1,984017,142536,8200.14,14253.6
2024-01-05 15:26:00,long,1301.6,6,0.0,7809.6,1104984,154213,9208.2,15421.3
2024-01-08 15:26:00,short,1304.5,5,0.0,6522.5,587448,123437,4895.4,12343.7
2024-01-08 15:29:00,close,1304.75,5,-1.25,6523.75,0,0,0.0,0.0
2024-01-09 15:26:00,long,1322.3,5,0.0,6611.5,453545,107388,3779.54,10738.8
2024-01-11 15:26:00,short,1313.75,5,0.0,6568.75,434527,106296,3621.06,10629.6
2024-01-11 15:29:00,close,1310.55,5,16.0,6552.75,0,0,0.0,0.0
2024-01-12 15:26:00,long,1328.95,5,0.0,6644.75,548797,124997,4573.31,12499.7
2024-01-15 15:26:00,short,1328.25,4,0.0,5313.0,641074,89415,5342.28,8941.5
2024-01-15 15:29:00,close,1330.55,4,-9.2,5322.2,0,0,0.0,0.0
2024-01-16 15:26:00,long,1313.9,4,0.0,5255.6,338065,83674,2817.21,8367.4
2024-01-17 15:26:00,short,1298.9,4,0.0,5195.6,806855,243892,6723.79,24389.2
2024-01-17 15:29:00,close,1298.0,4,3.6,5192.0,0,0,0.0,0.0
2024-01-18 15:26:00,short,1336.8,4,0.0,5347.2,1179894,211107,9832.45,21110.7
2024-01-18 15:29:00,close,1337.0,4,-0.8,5348.0,0,0,0.0,0.0
2024-01-19 15:26:00,long,1336.95,4,0.0,5347.8,484683,138438,4039.02,13843.8
2024-01-20 15:26:00,long,1327.2,3,0.0,3981.6,110117,16484,917.64,1648.4
2024-01-23 15:26:00,long,1383.95,3,0.0,4151.85,1105790,374991,9214.92,37499.1
2024-01-24 15:26:00,long,1386.8,3,0.0,4160.4,583603,105523,4863.36,10552.3
