EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-03-15 15:26:00,long,1456.0,6,8736,closed,2024-05-09 09:15:00,1474.95,113.7,1.3
2024-05-31 15:26:00,short,1527.85,6,9167,closed,2024-05-31 15:29:00,1526.0,11.1,0.12
2024-06-18 15:26:00,short,1608.95,6,9654,closed,2024-06-18 15:29:00,1608.0,5.7,0.06
2024-08-30 15:26:00,long,1637.7,6,9826,closed,2024-10-03 12:25:00,1698.6,365.4,3.72
2024-09-27 15:26:00,short,1752.35,5,8762,closed,2024-09-27 15:29:00,1753.0,-3.25,-0.04
2024-10-14 15:26:00,short,1687.55,5,8438,closed,2024-10-14 15:29:00,1689.35,-9.0,-0.11
2024-10-15 15:26:00,long,1686.65,5,8433,closed,2024-11-13 14:29:00,1693.66,35.05,0.42
2024-10-31 15:26:00,short,1735.0,5,8675,closed,2024-10-31 15:29:00,1734.3,3.5,0.04
2024-11-25 15:26:00,long,1793.45,5,8967,closed,2024-12-19 09:17:00,1786.0,-37.25,-0.42
2024-12-20 15:26:00,long,1776.25,5,8881,open,,0.0,0.0,0.0
2024-12-30 15:26:00,long,1781.55,5,8908,open,,0.0,0.0,0.0
