EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-01 15:26:00,short,1013.1,9,9118,closed,2024-01-01 15:29:00,1012.0,9.9,0.11
2024-01-04 15:26:00,long,1053.0,9,9477,closed,2024-01-17 11:41:00,1083.49,274.41,2.9
2024-01-08 15:26:00,short,1048.25,8,8386,closed,2024-01-08 15:29:00,1046.75,12.0,0.14
2024-02-29 15:26:00,long,1129.45,8,9036,closed,2024-03-13 11:22:00,1181.75,418.41,4.63
2024-04-25 15:26:00,long,1341.15,7,9388,closed,2024-05-02 10:20:00,1305.62,-248.71,-2.65
2024-04-30 15:26:00,short,1323.75,6,7942,closed,2024-04-30 15:29:00,1324.5,-4.5,-0.06
2024-05-31 15:26:00,long,1380.85,7,9666,closed,2024-06-04 09:15:00,1377.84,-21.09,-0.22
2024-06-21 15:26:00,short,1414.85,7,9904,closed,2024-06-21 15:29:00,1403.25,81.2,0.82
2024-06-27 15:26:00,long,1485.25,6,8912,closed,2024-06-28 09:15:00,1490.16,29.47,0.33
2024-07-01 15:26:00,short,1456.1,6,8737,closed,2024-07-01 15:29:00,1458.0,-11.4,-0.13
2024-08-30 15:26:00,long,1593.4,6,9560,closed,2024-09-04 09:15:00,1556.85,-219.3,-2.29
2024-09-05 15:26:00,long,1548.35,6,9290,closed,2024-09-19 14:55:00,1660.35,671.99,7.23
2024-09-27 15:26:00,short,1736.0,5,8680,closed,2024-09-27 15:29:00,1737.0,-5.0,-0.06
2024-10-31 15:26:00,long,1615.65,6,9694,closed,2024-11-04 11:04:00,1575.13,-243.09,-2.51
2024-11-25 15:26:00,short,1579.05,6,9474,closed,2024-11-25 15:29:00,1581.9,-17.1,-0.18
2024-12-20 15:26:00,long,1581.45,6,9489,closed,2024-12-31 09:15:00,1579.6,-11.12,-0.12
2024-12-30 15:26:00,long,1586.75,5,7934,open,,0.0,0.0,0.0
