TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,2464.15,4,0.0,9856.6,98062,27858,817.18,2785.8
2024-01-01 15:29:00,close,2462.9,4,5.0,9851.6,0,0,0.0,0.0
2024-01-04 15:26:00,short,2485.1,4,0.0,9940.4,39009,13681,325.08,1368.1
2024-01-04 15:29:00,close,2482.7,4,9.6,9930.8,0,0,0.0,0.0
2024-01-17 15:26:00,short,2322.85,4,0.0,9291.4,139713,40342,1164.28,4034.2
2024-01-17 15:29:00,close,2330.8,4,-31.8,9323.2,0,0,0.0,0.0
2024-01-19 15:26:00,short,2355.5,4,0.0,9422.0,81560,25475,679.67,2547.5
2024-01-19 15:29:00,close,2360.0,4,-18.0,9440.0,0,0,0.0,0.0
2024-01-31 15:26:00,short,2305.05,4,0.0,9220.2,112989,35802,941.58,3580.2
2024-01-31 15:29:00,close,2299.0,4,24.2,9196.0,0,0,0.0,0.0
2024-02-01 15:26:00,long,2253.05,4,0.0,9012.2,57553,18454,479.61,1845.4
2024-02-02 12:27:00,close,2257.2,4,16.6,9028.8,0,0,0.0,0.0
2024-02-06 15:26:00,long,2244.25,4,0.0,8977.0,43738,12377,364.48,1237.7
2024-02-07 09:21:00,close,2246.06,4,7.25,8984.25,0,0,0.0,0.0
2024-02-09 15:26:00,long,2212.0,4,0.0,8848.0,23046,10209,192.05,1020.9
2024-02-12 09:50:00,close,2228.49,4,65.96,8913.96,0,0,0.0,0.0
2024-02-14 15:26:00,long,2256.15,4,0.0,9024.6,83381,21879,694.84,2187.9
2024-02-15 11:09:00,close,2310.66,4,218.04,9242.64,0,0,0.0,0.0
2024-02-23 15:26:00,long,2304.0,4,0.0,9216.0,51097,14029,425.81,1402.9
2024-02-26 15:26:00,short,2278.5,3,0.0,6835.5,34241,11406,285.34,1140.6
2024-02-26 09:28:00,close,2291.45,4,-50.18,9165.82,0,0,0.0,0.0
2024-02-26 15:29:00,close,2278.0,3,1.5,6834.0,0,0,0.0,0.0
2024-02-28 15:26:00,short,2184.3,4,0.0,8737.2,52053,50849,433.78,5084.9
2024-02-28 15:29:00,close,2186.0,4,-6.8,8744.0,0,0,0.0,0.0
2024-02-29 15:26:00,long,2215.0,4,0.0,8860.0,78492,28294,654.1,2829.4
