TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-03-15 15:26:00,long,3541.55,2,0.0,7083.1,2002751,680019,16689.59,68001.9
2024-04-04 09:55:00,close,3744.2,2,405.3,7488.4,0,0,0.0,0.0
2024-08-14 15:26:00,long,3544.0,2,0.0,7088.0,411858,146560,3432.15,14656.0
2024-08-21 15:26:00,short,3593.1,2,0.0,7186.2,419938,145064,3499.48,14506.4
2024-08-21 15:29:00,close,3593.75,2,-1.3,7187.5,0,0,0.0,0.0
2024-08-30 15:26:00,short,3708.95,2,0.0,7417.9,1112434,498951,9270.28,49895.1
2024-08-30 15:29:00,close,3707.0,2,3.9,7414.0,0,0,0.0,0.0
2024-09-04 15:26:00,short,3650.0,2,0.0,7300.0,614572,223192,5121.43,22319.2
2024-09-04 09:19:00,close,3632.65,2,177.3,7265.3,0,0,0.0,0.0
2024-09-04 15:29:00,close,3654.0,2,-8.0,7308.0,0,0,0.0,0.0
2024-10-16 15:26:00,long,3526.95,2,0.0,7053.9,753227,291308,6276.89,29130.8
2024-10-22 13:36:00,close,3513.29,2,-27.32,7026.58,0,0,0.0,0.0
2024-12-20 15:26:00,long,3630.55,2,0.0,7261.1,966667,382545,8055.56,38254.5
2024-12-30 15:26:00,long,3583.85,2,0.0,7167.7,467509,388879,3895.91,38887.9
2024-12-30 09:38:00,close,3589.0,2,-83.1,7178.0,0,0,0.0,0.0
