TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-03 15:26:00,long,3235.55,3,0.0,9706.65,27859,13405,232.16,1340.5
2024-01-08 15:26:00,short,3327.1,2,0.0,6654.2,48361,18388,403.01,1838.8
2024-01-08 15:29:00,close,3338.0,2,-21.8,6676.0,0,0,0.0,0.0
2024-01-09 15:26:00,short,3219.9,2,0.0,6439.8,50683,19923,422.36,1992.3
2024-01-09 15:29:00,close,3221.7,2,-3.6,6443.4,0,0,0.0,0.0
2024-01-11 09:15:00,close,3076.96,3,-475.76,9230.9,0,0,0.0,0.0
2024-01-12 15:26:00,long,2987.35,3,0.0,8962.05,71091,26225,592.42,2622.5
2024-01-20 15:26:00,short,3028.0,2,0.0,6056.0,32952,12152,274.6,1215.2
2024-01-20 15:29:00,close,3040.0,2,-24.0,6080.0,0,0,0.0,0.0
2024-01-23 15:26:00,short,2992.2,3,0.0,8976.6,46699,19181,389.16,1918.1
2024-01-23 15:29:00,close,2985.0,3,21.6,8955.0,0,0,0.0,0.0
2024-01-25 15:26:00,short,3175.0,2,0.0,6350.0,61349,21089,511.24,2108.9
2024-01-25 15:29:00,close,3182.0,2,-14.0,6364.0,0,0,0.0,0.0
2024-02-06 15:26:00,long,3263.45,2,0.0,6526.9,37896,20527,315.8,2052.7
2024-02-12 15:26:00,long,3229.7,2,0.0,6459.4,18249,8440,152.07,844.0
2024-02-29 15:26:00,short,3202.9,2,0.0,6405.8,40238,22866,335.32,2286.6
2024-02-29 15:29:00,close,3202.85,2,0.1,6405.7,0,0,0.0,0.0
2024-03-01 15:26:00,short,3205.65,2,0.0,6411.3,19596,7306,163.3,730.6
2024-03-01 15:29:00,close,3207.0,2,-2.7,6414.0,0,0,0.0,0.0
2024-03-11 15:26:00,short,3347.35,2,0.0,6694.7,28662,12361,238.85,1236.1
2024-03-11 15:29:00,close,3344.0,2,6.7,6688.0,0,0,0.0,0.0
2024-03-13 10:05:00,close,3127.5,3,420.45,9382.5,0,0,0.0,0.0
2024-03-13 10:05:00,close,3127.5,2,-271.9,6255.0,0,0,0.0,0.0
2024-03-13 10:05:00,close,3127.5,2,-204.4,6255.0,0,0,0.0,0.0
2024-03-26 15:26:00,long,3490.05,2,0.0,6980.1,43230,20636,360.25,2063.6
2024-03-27 15:26:00,short,3482.85,2,0.0,6965.7,211580,95933,1763.17,9593.3
2024-03-27 15:29:00,close,3482.8,2,0.1,6965.6,0,0,0.0,0.0
2024-03-28 15:26:00,short,3457.75,2,0.0,6915.5,33831,14135,281.92,1413.5
2024-03-28 15:29:00,close,3458.3,2,-1.1,6916.6,0,0,0.0,0.0
2024-04-22 15:26:00,short,3822.0,2,0.0,7644.0,27481,11563,229.01,1156.3
2024-04-22 15:29:00,close,3826.9,2,-9.8,7653.8,0,0,0.0,0.0
2024-04-23 15:26:00,short,4013.0,2,0.0,8026.0,134656,45179,1122.13,4517.9
2024-04-23 15:29:00,close,3995.0,2,36.0,7990.0,0,0,0.0,0.0
2024-05-22 15:26:00,short,4172.25,2,0.0,8344.5,32042,11614,267.02,1161.4
2024-05-22 15:29:00,close,4140.0,2,64.5,8280.0,0,0,0.0,0.0
2024-05-23 15:26:00,short,4299.75,2,0.0,8599.5,110241,41529,918.68,4152.9
2024-05-23 15:29:00,close,4292.0,2,15.5,8584.0,0,0,0.0,0.0
2024-05-28 15:26:00,long,4146.8,2,0.0,8293.6,27540,9198,229.5,919.8
2024-05-31 15:26:00,long,4095.0,2,0.0,8190.0,90917,39371,757.64,3937.1
2024-06-04 12:11:00,close,3915.0,2,849.9,7830.0,0,0,0.0,0.0
2024-06-04 12:21:00,close,3855.6,2,-582.4,7711.2,0,0,0.0,0.0
2024-06-04 12:21:00,close,3855.6,2,-478.8,7711.2,0,0,0.0,0.0
