EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-01 15:26:00,long,118.75,84,9975,closed,2024-01-02 12:53:00,129.69,918.88,9.21
2024-01-02 15:26:00,long,129.7,69,8949,closed,2024-01-03 09:19:00,131.73,139.79,1.56
2024-01-03 15:26:00,short,128.8,71,9145,closed,2024-01-03 15:29:00,129.0,-14.2,-0.16
2024-01-08 15:26:00,short,126.65,79,10005,closed,2024-01-08 15:29:00,128.1,-114.55,-1.14
2024-01-09 15:26:00,short,130.0,77,10010,closed,2024-01-09 15:29:00,129.9,7.7,0.08
2024-01-10 15:26:00,long,134.4,75,10080,closed,2024-01-11 15:28:00,131.82,-193.27,-1.92
2024-01-12 15:26:00,long,134.65,74,9964,closed,2024-01-16 13:00:00,134.34,-22.57,-0.23
2024-01-16 15:26:00,long,134.95,67,9042,closed,2024-01-18 09:15:00,133.0,-130.65,-1.44
2024-01-18 15:26:00,short,133.6,68,9085,closed,2024-01-18 15:29:00,133.9,-20.4,-0.22
2024-01-19 15:26:00,short,134.8,74,9975,closed,2024-01-19 15:29:00,134.7,7.4,0.07
2024-01-20 15:26:00,long,133.95,75,10046,closed,2024-01-23 12:58:00,140.31,477.04,4.75
2024-01-24 15:26:00,short,138.5,72,9972,closed,2024-01-24 15:29:00,138.5,0.0,0.0
2024-01-30 15:26:00,short,139.0,72,10008,closed,2024-01-30 15:29:00,138.7,21.6,0.22
2024-02-07 15:26:00,long,135.1,74,9997,closed,2024-02-09 09:40:00,135.46,26.68,0.27
2024-02-08 15:26:00,short,137.85,66,9098,closed,2024-02-08 15:29:00,138.5,-42.9,-0.47
2024-02-09 15:26:00,short,136.1,66,8983,closed,2024-02-09 15:29:00,135.95,9.9,0.11
2024-02-12 15:26:00,long,132.0,76,10032,closed,2024-02-13 09:27:00,129.3,-205.12,-2.04
2024-02-13 15:26:00,short,128.75,70,9012,closed,2024-02-13 15:29:00,129.0,-17.5,-0.19
2024-02-14 15:26:00,long,135.95,74,10060,closed,2024-02-16 15:18:00,135.61,-25.46,-0.25
2024-02-15 15:26:00,long,137.9,65,8964,closed,2024-02-16 15:18:00,135.61,-149.11,-1.66
2024-02-16 15:26:00,long,136.65,59,8062,closed,2024-02-21 12:27:00,140.26,213.11,2.64
2024-02-19 15:26:00,short,137.0,67,9179,closed,2024-02-19 15:29:00,137.0,0.0,0.0
2024-02-20 15:26:00,short,138.6,66,9148,closed,2024-02-20 15:29:00,138.45,9.9,0.11
2024-02-21 15:26:00,short,137.65,67,9223,closed,2024-02-21 15:29:00,137.9,-16.75,-0.18
2024-02-22 15:26:00,long,138.7,72,9986,closed,2024-02-23 10:26:00,142.83,297.54,2.98
2024-02-23 15:26:00,long,141.9,64,9082,closed,2024-02-28 10:57:00,139.92,-126.56,-1.39
2024-02-26 15:26:00,long,141.0,65,9165,closed,2024-02-28 10:57:00,139.92,-70.04,-0.76
2024-02-27 15:26:00,short,141.35,58,8198,closed,2024-02-27 15:29:00,141.65,-17.4,-0.21
2024-02-28 15:26:00,long,139.9,59,8254,closed,2024-03-05 09:15:00,141.96,121.51,1.47
2024-02-29 15:26:00,long,139.8,66,9227,closed,2024-03-05 09:15:00,141.96,142.53,1.54
2024-03-04 15:26:00,long,143.35,58,8314,closed,2024-03-06 09:15:00,140.99,-136.91,-1.65
2024-03-05 15:26:00,long,142.1,52,7389,closed,2024-03-06 10:26:00,138.32,-196.46,-2.66
2024-03-07 15:26:00,long,139.65,72,10055,closed,2024-03-11 15:15:00,135.61,-291.17,-2.9
2024-03-11 15:26:00,short,135.7,66,8956,closed,2024-03-11 15:29:00,135.95,-16.5,-0.18
2024-03-12 15:26:00,long,137.75,73,10056,closed,2024-03-13 09:53:00,135.99,-128.19,-1.27
2024-03-13 15:26:00,long,125.4,72,9029,closed,2024-03-14 09:15:00,123.09,-166.1,-1.84
2024-03-15 15:26:00,long,129.0,77,9933,closed,2024-03-18 15:18:00,128.67,-25.37,-0.26
2024-03-18 15:26:00,long,130.25,69,8987,closed,2024-03-20 10:48:00,128.43,-125.72,-1.4
2024-03-19 15:26:00,short,129.75,70,9082,closed,2024-03-19 15:29:00,129.35,28.0,0.31
2024-03-20 15:26:00,short,127.85,71,9077,closed,2024-03-20 15:29:00,128.0,-10.65,-0.12
2024-03-21 15:26:00,long,134.05,74,9920,closed,2024-03-26 09:18:00,131.58,-182.74,-1.84
2024-03-22 15:26:00,long,132.75,67,8894,closed,2024-03-28 11:38:00,131.63,-75.11,-0.84
2024-03-26 15:26:00,short,132.3,61,8070,closed,2024-03-26 15:29:00,132.6,-18.3,-0.23
2024-03-27 15:26:00,long,132.6,68,9017,closed,2024-03-28 13:34:00,131.24,-92.41,-1.02
2024-03-28 15:26:00,long,130.8,62,8110,closed,2024-04-09 10:04:00,140.07,574.62,7.09
2024-04-01 15:26:00,long,137.55,66,9078,closed,2024-04-09 10:04:00,140.07,166.19,1.83
2024-04-02 15:26:00,long,138.55,59,8174,closed,2024-04-09 10:04:00,140.07,89.56,1.1
2024-04-04 15:26:00,long,142.3,52,7400,closed,2024-04-09 10:04:00,140.07,-116.06,-1.57
