,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
7,GSFC_minute,long,2024-02-13 15:26:00,2024-02-14 09:15:00,234.3,229.61,1,234.3,229.61,closed,-4.69,-2.0
23,GSFC_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,217.15,207.2,1,217.15,207.2,closed,-9.95,-4.5821
44,GSFC_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,237.3,241.25,1,237.3,241.25,closed,3.95,1.6646
47,GSFC_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,241.0,234.7,1,241.0,234.7,closed,-6.3,-2.6141
56,GSFC_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,229.15,218.3,1,229.15,218.3,closed,-10.85,-4.7349
61,GSFC_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,222.25,222.25,1,222.25,222.25,closed,0.0,0.0
63,GSFC_minute,long,2024-05-23 15:26:00,2024-05-24 15:29:00,222.2,224.4,1,222.2,224.4,closed,2.2,0.9901
83,GSFC_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,245.75,242.46,1,245.75,242.46,closed,-3.29,-1.3388
89,GSFC_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,254.21,252.2,1,254.21,252.2,closed,-2.01,-0.7907
93,GSFC_minute,long,2024-07-24 15:26:00,2024-07-25 15:29:00,237.6,233.6,1,237.6,233.6,closed,-4.0,-1.6835
109,GSFC_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,227.42,231.52,1,227.42,231.52,closed,4.1,1.8028
114,GSFC_minute,long,2024-08-22 15:26:00,2024-08-23 09:15:00,238.0,238.0,1,238.0,238.0,closed,0.0,0.0
115,GSFC_minute,long,2024-08-26 15:26:00,2024-08-27 15:29:00,236.74,238.02,1,236.74,238.02,closed,1.28,0.5407
116,GSFC_minute,long,2024-08-27 15:26:00,2024-08-28 15:29:00,238.48,235.05,1,238.48,235.05,closed,-3.43,-1.4383
126,GSFC_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,227.58,229.75,1,227.58,229.75,closed,2.17,0.9535
135,GSFC_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,224.06,225.05,1,224.06,225.05,closed,0.99,0.4418
139,GSFC_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,217.79,218.22,1,217.79,218.22,closed,0.43,0.1974
144,GSFC_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,221.88,220.65,1,221.88,220.65,closed,-1.23,-0.5544
152,GSFC_minute,long,2024-10-04 15:26:00,2024-10-07 15:29:00,214.0,207.0,1,214.0,207.0,closed,-7.0,-3.271
154,GSFC_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,213.0,213.74,1,213.0,213.74,closed,0.74,0.3474
157,GSFC_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,213.74,215.77,1,213.74,215.77,closed,2.03,0.9498
159,GSFC_minute,long,2024-10-14 15:26:00,2024-10-15 15:29:00,215.28,213.2,1,215.28,213.2,closed,-2.08,-0.9662
160,GSFC_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,213.45,216.91,1,213.45,216.91,closed,3.46,1.621
164,GSFC_minute,long,2024-10-18 15:26:00,2024-10-21 15:29:00,211.77,211.15,1,211.77,211.15,closed,-0.62,-0.2928
168,GSFC_minute,long,2024-10-22 15:26:00,2024-10-23 09:17:00,208.11,205.79,1,208.11,205.79,closed,-2.32,-1.1147
171,GSFC_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,201.56,210.01,1,201.56,210.01,closed,8.45,4.1923
173,GSFC_minute,long,2024-10-31 15:26:00,2024-11-01 18:59:00,209.48,209.61,1,209.48,209.61,closed,0.13,0.0621
191,GSFC_minute,long,2024-12-05 15:26:00,2024-12-06 15:29:00,223.28,220.75,1,223.28,220.75,closed,-2.53,-1.1331
211,GSFC_minute,long,2024-12-27 15:26:00,2024-12-30 15:29:00,200.8,193.4,1,200.8,193.4,closed,-7.4,-3.6853
