,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
76,GODIGIT_minute,long,2024-06-12 15:26:00,2024-06-13 09:16:00,340.9,340.4,1,340.9,340.4,closed,-0.5,-0.1458
88,GODIGIT_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,332.0,338.0,1,332.0,338.0,closed,6.0,1.8072
102,GODIGIT_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,337.45,339.45,1,337.45,339.45,closed,2.0,0.5927
110,GODIGIT_minute,long,2024-07-24 15:26:00,2024-07-25 09:15:00,345.75,338.84,1,345.75,338.84,closed,-6.92,-2.0
135,GODIGIT_minute,long,2024-08-30 15:26:00,2024-09-02 09:16:00,389.1,386.12,1,389.1,386.12,closed,-2.98,-0.7659
155,GODIGIT_minute,long,2024-09-24 15:26:00,2024-09-25 15:29:00,370.45,360.95,1,370.45,360.95,closed,-9.5,-2.5644
165,GODIGIT_minute,long,2024-10-03 15:26:00,2024-10-04 09:15:00,398.65,390.68,1,398.65,390.68,closed,-7.97,-2.0
196,GODIGIT_minute,long,2024-11-26 15:26:00,2024-11-27 15:29:00,341.2,333.55,1,341.2,333.55,closed,-7.65,-2.2421
200,GODIGIT_minute,long,2024-11-28 15:26:00,2024-11-29 15:29:00,334.1,342.5,1,334.1,342.5,closed,8.4,2.5142
204,GODIGIT_minute,long,2024-12-03 15:26:00,2024-12-04 15:29:00,349.95,343.0,1,349.95,343.0,closed,-6.95,-1.986
213,GODIGIT_minute,long,2024-12-26 15:26:00,2024-12-27 09:15:00,317.55,318.05,1,317.55,318.05,closed,0.5,0.1575
215,GODIGIT_minute,long,2024-12-27 15:26:00,2024-12-30 15:29:00,323.6,322.05,1,323.6,322.05,closed,-1.55,-0.479
