EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-01 15:26:00,long,1490.9,6,8945,closed,2024-01-18 09:45:00,1504.8,83.4,0.93
2024-01-02 15:26:00,long,1468.2,6,8809,closed,2024-01-18 09:45:00,1504.8,219.6,2.49
2024-01-03 15:26:00,long,1465.2,5,7326,closed,2024-01-18 09:45:00,1504.8,198.0,2.7
2024-01-04 15:26:00,short,1471.9,5,7360,closed,2024-01-04 15:29:00,1471.0,4.5,0.06
2024-01-08 15:26:00,short,1506.15,4,6025,closed,2024-01-08 15:29:00,1505.0,4.6,0.08
2024-01-09 15:26:00,long,1517.9,4,6072,closed,2024-01-18 09:45:00,1504.8,-52.4,-0.86
2024-01-10 15:26:00,long,1530.9,4,6124,closed,2024-01-18 09:45:00,1504.8,-104.4,-1.7
2024-01-11 15:26:00,short,1540.6,4,6162,closed,2024-01-11 15:29:00,1540.0,2.4,0.04
2024-01-12 15:26:00,long,1550.65,4,6203,closed,2024-01-18 09:45:00,1504.8,-183.4,-2.96
2024-01-15 15:26:00,short,1535.5,3,4606,closed,2024-01-15 15:29:00,1538.4,-8.7,-0.19
2024-01-16 15:26:00,short,1545.05,3,4635,closed,2024-01-16 15:29:00,1550.0,-14.85,-0.32
2024-01-17 15:26:00,short,1540.0,3,4620,closed,2024-01-17 15:29:00,1540.0,0.0,0.0
2024-01-18 15:26:00,long,1536.0,3,4608,closed,2024-01-23 14:36:00,1483.76,-156.73,-3.4
2024-01-19 15:26:00,long,1550.0,6,9300,closed,2024-01-23 14:36:00,1483.76,-397.46,-4.27
2024-01-20 15:26:00,short,1524.0,5,7620,closed,2024-01-20 15:29:00,1525.0,-5.0,-0.07
2024-01-23 15:26:00,long,1497.85,5,7489,closed,2024-01-25 09:24:00,1438.73,-295.61,-3.95
2024-01-24 15:26:00,short,1505.7,6,9034,closed,2024-01-24 15:29:00,1506.0,-1.8,-0.02
2024-01-25 15:26:00,short,1416.0,6,8496,closed,2024-01-25 15:29:00,1417.35,-8.1,-0.1
2024-01-31 15:26:00,long,1550.05,6,9300,closed,2024-02-13 09:22:00,1675.8,754.5,8.11
2024-02-01 15:26:00,long,1523.0,5,7615,closed,2024-02-13 09:22:00,1675.8,764.0,10.03
2024-02-02 15:26:00,long,1576.95,5,7885,closed,2024-02-13 09:22:00,1675.8,494.25,6.27
