,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
5,SANOFI_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,7898.0,7990.4,1,7898.0,7990.4,closed,92.4,1.1699
6,SANOFI_minute,long,2024-02-05 15:26:00,2024-02-06 15:29:00,7925.8,7951.55,1,7925.8,7951.55,closed,25.75,0.3249
20,SANOFI_minute,long,2024-02-19 15:26:00,2024-02-20 09:15:00,8259.05,8250.76,1,8259.05,8250.76,closed,-8.29,-0.1004
34,SANOFI_minute,long,2024-03-06 15:26:00,2024-03-07 09:15:00,7711.3,7634.19,1,7711.3,7634.19,closed,-77.11,-1.0
48,SANOFI_minute,long,2024-03-28 15:26:00,2024-04-01 09:15:00,7347.5,7291.94,1,7347.5,7291.94,closed,-55.56,-0.7561
50,SANOFI_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,7526.05,7764.3,1,7526.05,7764.3,closed,238.25,3.1657
51,SANOFI_minute,long,2024-04-03 15:26:00,2024-04-04 09:15:00,7768.75,7833.23,1,7768.75,7833.23,closed,64.48,0.8299
66,SANOFI_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,7330.7,7433.9,1,7330.7,7433.9,closed,103.2,1.4078
84,SANOFI_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,7960.8,7921.5,1,7960.8,7921.5,closed,-39.3,-0.4937
100,SANOFI_minute,long,2024-06-05 15:26:00,2024-06-06 09:17:00,8213.05,8214.43,1,8213.05,8214.43,closed,1.38,0.0168
115,SANOFI_minute,long,2024-06-28 15:26:00,2024-07-01 09:15:00,6540.55,6547.86,1,6540.55,6547.86,closed,7.31,0.1118
117,SANOFI_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,6552.0,6593.8,1,6552.0,6593.8,closed,41.8,0.638
134,SANOFI_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,6374.1,6398.0,1,6374.1,6398.0,closed,23.9,0.375
142,SANOFI_minute,long,2024-07-29 15:26:00,2024-07-30 15:29:00,6569.0,6575.0,1,6569.0,6575.0,closed,6.0,0.0913
144,SANOFI_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,6600.0,6585.0,1,6600.0,6585.0,closed,-15.0,-0.2273
151,SANOFI_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,6728.35,6659.0,1,6728.35,6659.0,closed,-69.35,-1.0307
163,SANOFI_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,6865.1,6870.0,1,6865.1,6870.0,closed,4.9,0.0714
171,SANOFI_minute,long,2024-08-29 15:26:00,2024-08-30 09:16:00,6809.5,6782.0,1,6809.5,6782.0,closed,-27.5,-0.4038
177,SANOFI_minute,long,2024-09-03 15:26:00,2024-09-04 09:15:00,7155.0,7156.46,1,7155.0,7156.46,closed,1.46,0.0204
212,SANOFI_minute,long,2024-09-27 15:26:00,2024-09-30 15:29:00,6800.0,7060.15,1,6800.0,7060.15,closed,260.15,3.8257
213,SANOFI_minute,long,2024-09-30 15:26:00,2024-10-01 09:15:00,7070.65,6999.5,1,7070.65,6999.5,closed,-71.15,-1.0063
217,SANOFI_minute,long,2024-10-01 15:26:00,2024-10-03 09:15:00,7118.95,7009.85,1,7118.95,7009.85,closed,-109.1,-1.5325
246,SANOFI_minute,long,2024-10-29 15:26:00,2024-10-30 09:15:00,6460.1,6490.0,1,6460.1,6490.0,closed,29.9,0.4628
250,SANOFI_minute,long,2024-10-31 15:26:00,2024-11-01 18:00:00,6836.95,6796.55,1,6836.95,6796.55,closed,-40.4,-0.5909
260,SANOFI_minute,long,2024-11-18 15:26:00,2024-11-19 09:17:00,6200.05,6138.05,1,6200.05,6138.05,closed,-62.0,-1.0
265,SANOFI_minute,long,2024-11-22 15:26:00,2024-11-25 09:15:00,6058.2,6081.0,1,6058.2,6081.0,closed,22.8,0.3763
272,SANOFI_minute,long,2024-11-29 15:26:00,2024-12-02 15:29:00,6434.0,6327.4,1,6434.0,6327.4,closed,-106.6,-1.6568
274,SANOFI_minute,long,2024-12-02 15:26:00,2024-12-03 15:29:00,6333.15,6337.6,1,6333.15,6337.6,closed,4.45,0.0703
281,SANOFI_minute,long,2024-12-12 15:26:00,2024-12-13 09:15:00,6155.0,6133.0,1,6155.0,6133.0,closed,-22.0,-0.3574
291,SANOFI_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,6202.5,6160.0,1,6202.5,6160.0,closed,-42.5,-0.6852
302,SANOFI_minute,long,2024-12-27 15:26:00,2024-12-30 15:29:00,6116.95,6130.0,1,6116.95,6130.0,closed,13.05,0.2133
