,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
15,UTIAMC_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,860.35,883.5,1,860.35,883.5,closed,23.15,2.6908
16,UTIAMC_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,871.5,868.25,1,871.5,868.25,closed,-3.25,-0.3729
28,UTIAMC_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,808.0,799.92,1,808.0,799.92,closed,-8.08,-1.0
48,UTIAMC_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,894.5,902.95,1,894.5,902.95,closed,8.45,0.9447
55,UTIAMC_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,923.0,902.5,1,923.0,902.5,closed,-20.5,-2.221
58,UTIAMC_minute,long,2024-05-07 15:26:00,2024-05-08 15:29:00,863.05,876.05,1,863.05,876.05,closed,13.0,1.5063
67,UTIAMC_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,869.05,872.3,1,869.05,872.3,closed,3.25,0.374
88,UTIAMC_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,973.5,972.15,1,973.5,972.15,closed,-1.35,-0.1387
98,UTIAMC_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,1028.0,1063.0,1,1028.0,1063.0,closed,35.0,3.4047
104,UTIAMC_minute,long,2024-07-22 15:26:00,2024-07-23 09:19:00,983.05,975.05,1,983.05,975.05,closed,-8.0,-0.8137
108,UTIAMC_minute,long,2024-07-29 15:26:00,2024-07-30 15:29:00,1053.8,1030.5,1,1053.8,1030.5,closed,-23.3,-2.211
113,UTIAMC_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,1040.9,970.0,1,1040.9,970.0,closed,-70.9,-6.8114
123,UTIAMC_minute,long,2024-08-16 15:26:00,2024-08-19 15:29:00,1040.3,1058.0,1,1040.3,1058.0,closed,17.7,1.7014
127,UTIAMC_minute,long,2024-08-20 15:26:00,2024-08-21 09:15:00,1126.45,1123.5,1,1126.45,1123.5,closed,-2.95,-0.2618
130,UTIAMC_minute,long,2024-08-21 15:26:00,2024-08-22 09:16:00,1150.0,1149.39,1,1150.0,1149.39,closed,-0.61,-0.053
132,UTIAMC_minute,long,2024-08-22 15:26:00,2024-08-23 09:16:00,1132.75,1133.25,1,1132.75,1133.25,closed,0.5,0.0444
133,UTIAMC_minute,long,2024-08-23 15:26:00,2024-08-26 09:15:00,1140.05,1141.67,1,1140.05,1141.67,closed,1.62,0.1419
135,UTIAMC_minute,long,2024-08-26 15:26:00,2024-08-27 15:29:00,1174.0,1145.25,1,1174.0,1145.25,closed,-28.75,-2.4489
137,UTIAMC_minute,long,2024-08-27 15:26:00,2024-08-28 09:15:00,1145.0,1137.0,1,1145.0,1137.0,closed,-8.0,-0.6987
140,UTIAMC_minute,long,2024-08-30 15:26:00,2024-09-02 09:16:00,1156.75,1158.2,1,1156.75,1158.2,closed,1.45,0.1254
143,UTIAMC_minute,long,2024-09-03 15:26:00,2024-09-04 09:15:00,1182.9,1170.0,1,1182.9,1170.0,closed,-12.9,-1.0905
162,UTIAMC_minute,long,2024-09-16 15:26:00,2024-09-17 09:16:00,1268.0,1277.95,1,1268.0,1277.95,closed,9.95,0.7847
180,UTIAMC_minute,long,2024-10-01 15:26:00,2024-10-03 09:15:00,1235.0,1228.0,1,1235.0,1228.0,closed,-7.0,-0.5668
196,UTIAMC_minute,long,2024-10-25 15:26:00,2024-10-28 09:15:00,1147.45,1192.0,1,1147.45,1192.0,closed,44.55,3.8825
218,UTIAMC_minute,long,2024-11-13 15:26:00,2024-11-14 09:15:00,1271.85,1254.0,1,1271.85,1254.0,closed,-17.85,-1.4035
224,UTIAMC_minute,long,2024-11-22 15:26:00,2024-11-25 09:15:00,1299.95,1329.57,1,1299.95,1329.57,closed,29.62,2.2785
242,UTIAMC_minute,long,2024-12-05 15:26:00,2024-12-06 15:29:00,1333.1,1329.95,1,1333.1,1329.95,closed,-3.15,-0.2363
252,UTIAMC_minute,long,2024-12-20 15:26:00,2024-12-23 09:15:00,1234.05,1210.35,1,1234.05,1210.35,closed,-23.7,-1.9205
254,UTIAMC_minute,long,2024-12-23 15:26:00,2024-12-24 09:15:00,1233.6,1232.55,1,1233.6,1232.55,closed,-1.05,-0.0851
256,UTIAMC_minute,long,2024-12-24 15:26:00,2024-12-26 09:15:00,1228.25,1223.0,1,1228.25,1223.0,closed,-5.25,-0.4274
