,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
7,IOC_minute,long,2024-02-13 15:26:00,2024-02-14 09:15:00,167.55,165.87,1,167.55,165.87,closed,-1.68,-1.0
14,IOC_minute,long,2024-02-29 15:26:00,2024-03-01 09:15:00,159.05,161.1,1,159.05,161.1,closed,2.05,1.2889
38,IOC_minute,long,2024-04-22 15:26:00,2024-04-23 09:15:00,163.95,165.03,1,163.95,165.03,closed,1.08,0.6606
44,IOC_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,163.35,164.7,1,163.35,164.7,closed,1.35,0.8264
71,IOC_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,155.6,163.15,1,155.6,163.15,closed,7.55,4.8535
87,IOC_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,158.91,160.8,1,158.91,160.8,closed,1.89,1.1894
100,IOC_minute,long,2024-07-16 15:26:00,2024-07-18 09:19:00,170.75,169.04,1,170.75,169.04,closed,-1.71,-1.0
115,IOC_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,174.09,173.8,1,174.09,173.8,closed,-0.29,-0.1666
128,IOC_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,175.76,175.7,1,175.76,175.7,closed,-0.06,-0.0341
134,IOC_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,165.38,167.25,1,165.38,167.25,closed,1.87,1.1307
138,IOC_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,169.99,170.05,1,169.99,170.05,closed,0.06,0.0353
143,IOC_minute,long,2024-09-26 15:26:00,2024-09-27 15:29:00,171.69,179.35,1,171.69,179.35,closed,7.66,4.4615
